,show_sea_ep,ep_title,airdate,synopsis,IMDB_ID,IMDB_user_rating,num_IMDB_usr_rtgs,season,episode,series,year
0,Star Trek: Deep Space Nine - Season 7 - 1,Image in the Sand,1998-09-30,"Having returned to Earth a couple of months ago, Sisko waits for the Prophets to instruct him on what to do next. When he receives one, he begins searching for the woman behind the face in the sand in his vision. Meanwhile, back on DS9, Kira deals with a promotion and handling the decisions surrounding her command, and finding herself wishing for the return of Sisko. And Worf deals with the loss of his wife, Jadzia Dax.",https://www.imdb.com/title/tt0708552,7.7,1049,7,1,DS9,1998
1,Star Trek: Deep Space Nine - Season 7 - 2,Shadows and Symbols,1998-10-07,"Ezri Dax joins Sisko and his family on his quest for the Orb of the Emissary. Colonel Kira mounts a blockade around a Bajoran moon, where the Romulan hospital is - along with thousands of Romulan missles (claimed to be defensive in purpose). Quark joins Bashir & O'Brien as they join Worf, aboard a Klingon warship as they mount a dangerous mission in Jadzia Dax's name in an effort to get her spirit into Sto-vo-kor, the Klingon's heaven.",https://www.imdb.com/title/tt0708600,8.0,1062,7,2,DS9,1998
2,Star Trek: Deep Space Nine - Season 7 - 3,Afterimage,1998-10-14,"Sisko tries to convince Ezri to stay in Starfleet and serve aboard DS9, as Ezri tries to get to know Jadzia's friends aboard the station, especially Worf. Meanwhile, Garak tries to deal with a severe bout of claustrophobia.",https://www.imdb.com/title/tt0708498,7.3,979,7,3,DS9,1998
3,Star Trek: Deep Space Nine - Season 7 - 4,Take Me Out to the Holosuite,1998-10-21,A Vulcan captain challenges Sisko to a game of baseball.,https://www.imdb.com/title/tt0708609,7.5,1191,7,4,DS9,1998
4,Star Trek: Deep Space Nine - Season 7 - 5,Chrysalis,1998-10-28,"Dr. Bashir attempts to bring one of his genetically engineered friends out of the catatonic state she is in, and when he is successful, he begins to fall for her.",https://www.imdb.com/title/tt0708518,7.2,1033,7,5,DS9,1998
5,Star Trek: Deep Space Nine - Season 7 - 6,"Treachery, Faith and the Great River",1998-11-02,"A Vorta offers Odo valuable information on the Dominion in exchange for asylum. Meanwhile, Nog tries his Ferengi knowledge as he wheels and deals for a valuable piece of equipment for Chief O'Brien.",https://www.imdb.com/title/tt0708654,8.4,1056,7,6,DS9,1998
6,Star Trek: Deep Space Nine - Season 7 - 7,Once More Unto the Breach,1998-11-11,An aged Kor requests an opportunity to die with honor as a warrior.,https://www.imdb.com/title/tt0708571,7.7,1003,7,7,DS9,1998
7,Star Trek: Deep Space Nine - Season 7 - 8,The Siege of AR-558,1998-11-18,Capt. Sisko and his away team volunteer to stay with a besieged unit at an isolated outpost.,https://www.imdb.com/title/tt0708640,8.7,1323,7,8,DS9,1998
8,Star Trek: Deep Space Nine - Season 7 - 9,Covenant,1998-11-25,Kira is kidnapped and taken to Empok Nor by a member of a Pah'Wraith cult and discovers the group leader is Gul Dukat.,https://www.imdb.com/title/tt0708520,6.8,964,7,9,DS9,1998
9,Star Trek: Deep Space Nine - Season 7 - 10,It's Only a Paper Moon,1998-12-30,"Severely depressed at his serious war wound, Nog retreats into Vic Fontaine's holosuite program while the singer tries to help him.",https://www.imdb.com/title/tt0708562,8.3,1185,7,10,DS9,1998
