,show_sea_ep,ep_title,airdate,synopsis,IMDB_ID,IMDB_user_rating,num_IMDB_usr_rtgs,season,episode,series,year
0,Star Trek: Enterprise - Season 1 - 1,Broken Bow: Part I,2001-09-26,"Enterprise, Earth's first Warp 5 vessel, embarks on a dangerous first mission: bringing back a chased Klingon to his home world of Qo'noS.",https://www.imdb.com/title/tt0286610,7.8,3597,1,1,ENT,2001
1,Star Trek: Enterprise - Season 1 - 2,Broken Bow: Part II,2001-09-26,Archer learns from the Suliban Sarin that Klaang was carrying a message to the Klingons to prevent civil war within the Klingon Empire. Sarin urges Archer to find him.,https://www.imdb.com/title/tt0572184,7.9,1629,1,2,ENT,2001
2,Star Trek: Enterprise - Season 1 - 3,Fight or Flight,2001-10-03,Captain Archer wants to convert curiosity into deeds and decides to enter a ship floating in space. Hoshi has trouble adjusting to life on Enterprise.,https://www.imdb.com/title/tt0572209,7.1,1096,1,3,ENT,2001
3,Star Trek: Enterprise - Season 1 - 4,Strange New World,2001-10-10,"Archer sends an away team to a habitable, luscious planet for observation. But when a storm occurs, the team begins to experience paranoid delusions.",https://www.imdb.com/title/tt0572242,7.1,1085,1,4,ENT,2001
4,Star Trek: Enterprise - Season 1 - 5,Unexpected,2001-10-17,"After helping to repair the warp drive on board of a Xyrillian ship, Trip notices a strange bulging on his arm.",https://www.imdb.com/title/tt0572263,7.4,1105,1,5,ENT,2001
5,Star Trek: Enterprise - Season 1 - 6,Terra Nova,2001-10-24,"Enterprise tries to find out what happened on Terra Nova, the first colonization attempt outside Earth's solar system.",https://www.imdb.com/title/tt0572244,6.6,1057,1,6,ENT,2001
6,Star Trek: Enterprise - Season 1 - 7,The Andorian Incident,2001-10-31,"Archer, Trip and T'Pol are captured by the Andorians at a Vulcan monastery on P'Jem. They believe that the monastery is being used to spy on Andoria.",https://www.imdb.com/title/tt0572247,8.2,1132,1,7,ENT,2001
7,Star Trek: Enterprise - Season 1 - 8,Breaking the Ice,2001-11-07,Enterprise discovers a comet which contains the very rare element eisilium. Then unexpectedly a Vulcan ship arrives. Captain Vanik tells they're interested in human behavior.,https://www.imdb.com/title/tt0572182,7.3,1017,1,8,ENT,2001
8,Star Trek: Enterprise - Season 1 - 9,Civilization,2001-11-14,T'Pol finds unusual neutrino readings on a planet with a preindustrial society.,https://www.imdb.com/title/tt0572190,7.3,1014,1,9,ENT,2001
9,Star Trek: Enterprise - Season 1 - 10,Fortunate Son,2001-11-21,"Enterprise is sent to help the freighter Fortunate after an attack. However, its first officer, Ryan, is hiding something.",https://www.imdb.com/title/tt0572211,6.6,973,1,10,ENT,2001
