,show_sea_ep,ep_title,airdate,synopsis,IMDB_ID,IMDB_user_rating,num_IMDB_usr_rtgs,season,episode,series,year
0,Star Trek: The Original Series - Season 1 - 0,The Cage,1988-11-27,Capt. Pike is held prisoner and tested by aliens who have the power to project incredibly lifelike illusions.,https://www.imdb.com/title/tt0059753,7.7,4631,1,0,TOS,1988
1,Star Trek: The Original Series - Season 1 - 1,The Man Trap,1966-09-08,Dr. McCoy discovers his old flame is not what she seems after crew members begin dying from a sudden lack of salt in their bodies.,https://www.imdb.com/title/tt0708469,7.3,3426,1,1,TOS,1966
2,Star Trek: The Original Series - Season 1 - 2,Charlie X,1966-09-15,Captain Kirk must learn the limits to the power of a 17-year-old boy with the psychic ability to create anything and destroy anyone.,https://www.imdb.com/title/tt0708424,7.1,3216,1,2,TOS,1966
3,Star Trek: The Original Series - Season 1 - 3,Where No Man Has Gone Before,1966-09-22,The flight recorder of the 200-year-old U.S.S. Valiant relays a tale of terror--a magnetic storm at the edge of the galaxy!,https://www.imdb.com/title/tt0061027,7.8,4149,1,3,TOS,1966
4,Star Trek: The Original Series - Season 1 - 4,The Naked Time,1966-09-29,The crew is infected with a mysterious disease that removes people's emotional inhibitions to a dangerous degree.,https://www.imdb.com/title/tt0708473,8.0,3019,1,4,TOS,1966
5,Star Trek: The Original Series - Season 1 - 5,The Enemy Within,1966-10-06,"A transporter malfunction splits Captain Kirk into two halves: one meek and indecisive, the other violent and ill tempered. The remaining crew members stranded on the planet cannot be beamed up to the ship until a problem is fixed.",https://www.imdb.com/title/tt0708463,7.8,2887,1,5,TOS,1966
6,Star Trek: The Original Series - Season 1 - 6,Mudd's Women,1966-10-13,The Enterprise picks up untrustworthy entrepreneur Harry Mudd accompanied by three beautiful women who immediately put a spell on all the male crew members.,https://www.imdb.com/title/tt0708439,6.8,2825,1,6,TOS,1966
7,Star Trek: The Original Series - Season 1 - 7,What Are Little Girls Made Of?,1966-10-20,Nurse Chapel is reunited with her fiancé; but his new obsession leads him to make an android duplicate of Captain Kirk.,https://www.imdb.com/title/tt0708486,7.6,2670,1,7,TOS,1966
8,Star Trek: The Original Series - Season 1 - 8,Miri,1966-10-27,"The Enterprise discovers a planet exactly like Earth, but the only inhabitants are children who contract a fatal disease upon entering puberty.",https://www.imdb.com/title/tt0394905,7.1,2667,1,8,TOS,1966
9,Star Trek: The Original Series - Season 1 - 9,Dagger of the Mind,1966-11-03,Kirk and psychiatrist Helen Noel are trapped on a maximum security penal colony that experiments with mind control and Spock must use the Vulcan mind-meld to find a way to save them.,https://www.imdb.com/title/tt0708426,7.5,2515,1,9,TOS,1966
10,Star Trek: The Original Series - Season 1 - 10,The Corbomite Maneuver,1966-11-10,"After the Enterprise is forced to destroy a dangerous marker buoy, a gigantic alien ship arrives to capture and condemn the crew as trespassers.",https://www.imdb.com/title/tt0708458,8.1,2840,1,10,TOS,1966
11,Star Trek: The Original Series - Season 1 - 11,The Menagerie: Part I,1966-11-17,"Spock kidnaps the crippled Capt. Pike, hijacks the Enterprise and then surrenders for court martial.",https://www.imdb.com/title/tt0394904,8.4,2791,1,11,TOS,1966
12,Star Trek: The Original Series - Season 1 - 12,The Menagerie: Part II,1966-11-24,"At Spock's court martial, he explains himself with mysterious footage about when Capt. Pike was kidnapped by powerful illusion casting aliens.",https://www.imdb.com/title/tt0708472,8.3,2698,1,12,TOS,1966
13,Star Trek: The Original Series - Season 1 - 13,The Conscience of the King,1966-12-08,"While Captain Kirk investigates whether an actor is actually a presumed dead mass murderer, a mysterious assailant is killing the people who could identify the fugitive.",https://www.imdb.com/title/tt0394903,7.2,2450,1,13,TOS,1966
14,Star Trek: The Original Series - Season 1 - 14,Balance of Terror,1966-12-15,The Enterprise must decide on its response when a Romulan ship makes a destructively hostile armed probe of Federation territory.,https://www.imdb.com/title/tt0708420,9.0,3284,1,14,TOS,1966
15,Star Trek: The Original Series - Season 1 - 15,Shore Leave,1966-12-29,"The past three months has left the crew of the Enterprise exhausted and in desperate need of a break, but does this explain McCoy's encounter with a human-sized white rabbit or Kirk crossing paths with the prankster who plagued his days at Starfleet Academy?",https://www.imdb.com/title/tt0708446,7.6,2605,1,15,TOS,1966
16,Star Trek: The Original Series - Season 1 - 16,The Galileo Seven,1967-01-05,"The Galileo, under Spock's command, crash-lands on a hostile planet. As the Enterprise races against time to find the shuttlecraft, Spock's strictly logical leadership clashes with the fear and resentment of his crew.",https://www.imdb.com/title/tt0708465,7.8,2499,1,16,TOS,1967
17,Star Trek: The Original Series - Season 1 - 17,The Squire of Gothos,1967-01-12,A being that controls matter and creates planets wants to play with the Enterprise crew.,https://www.imdb.com/title/tt0708478,7.4,2429,1,17,TOS,1967
18,Star Trek: The Original Series - Season 1 - 18,Arena,1967-01-19,"For bringing hostility into their solar system, a superior alien race brings Captain Kirk in mortal combat against the reptilian captain of an alien ship he was pursuing.",https://www.imdb.com/title/tt0708418,8.0,2619,1,18,TOS,1967
19,Star Trek: The Original Series - Season 1 - 19,Tomorrow Is Yesterday,1967-01-26,The Enterprise is thrown back in time to 1960s Earth.,https://www.imdb.com/title/tt0708484,7.9,2486,1,19,TOS,1967
20,Star Trek: The Original Series - Season 1 - 20,Court Martial,1967-02-02,Kirk draws a court martial in the negligent death of a crewman.,https://www.imdb.com/title/tt0708425,7.5,2310,1,20,TOS,1967
21,Star Trek: The Original Series - Season 1 - 21,The Return of the Archons,1967-02-09,"Seeking the answer to a century-old mystery, Kirk and crew encounter a vacantly peaceful society under a 6000-year autocratic rule that kills all those it can't absorb.",https://www.imdb.com/title/tt0708476,7.3,2240,1,21,TOS,1967
22,Star Trek: The Original Series - Season 1 - 22,Space Seed,1967-02-16,"While on patrol in deep space, Captain Kirk and his crew find and revive a genetically engineered world conqueror and his compatriots from Earth's 20th century.",https://www.imdb.com/title/tt0708447,8.9,3212,1,22,TOS,1967
23,Star Trek: The Original Series - Season 1 - 23,A Taste of Armageddon,1967-02-23,Kirk and Spock must save their ship's crew when they are declared all killed in action in a bizarre computer simulated war where the actual deaths must occur to continue.,https://www.imdb.com/title/tt0708414,8.1,2417,1,23,TOS,1967
24,Star Trek: The Original Series - Season 1 - 24,This Side of Paradise,1967-03-02,"The Enterprise investigates a planet whose colonists should be dead, but are not.",https://www.imdb.com/title/tt0708483,8.0,2376,1,24,TOS,1967
25,Star Trek: The Original Series - Season 1 - 25,The Devil in the Dark,1967-03-09,"The Enterprise is sent to a mining colony that is being terrorized by a mysterious monster, only to find that the situation is not that simple.",https://www.imdb.com/title/tt0708460,8.4,2567,1,25,TOS,1967
26,Star Trek: The Original Series - Season 1 - 26,Errand of Mercy,1967-03-23,"With a war with Klingons raging, Kirk and Spock attempt to resist an occupation of a planet with incomprehensibly placid natives.",https://www.imdb.com/title/tt0708429,8.3,2340,1,26,TOS,1967
27,Star Trek: The Original Series - Season 1 - 27,The Alternative Factor,1967-03-30,"Existence itself comes under threat from a man's power-struggle with his alternate self, with the Enterprise's strained dilithium crystals presenting his key to a final solution.",https://www.imdb.com/title/tt0708451,5.8,2275,1,27,TOS,1967
28,Star Trek: The Original Series - Season 1 - 28,The City on the Edge of Forever,1967-04-06,"When a temporarily insane Dr. McCoy accidentally changes history and destroys his time, Kirk and Spock follow him to prevent the disaster, but the price to do so is high.",https://www.imdb.com/title/tt0708455,9.3,3912,1,28,TOS,1967
29,Star Trek: The Original Series - Season 1 - 29,Operation - Annihilate!,1967-04-13,The Enterprise crew attempts to stop a plague of amoeba-like creatures from possessing human hosts and spreading throughout the galaxy.,https://www.imdb.com/title/tt0708441,7.6,2120,1,29,TOS,1967
