,episode,rev_title,rev_content,rvr_rating
0,"""Star Trek"" The Pirates of Orion (TV Episode 1974)","Superb Little ""Star Trek"" Adventure","Excellent ""Star Trek"" installment here any way you slice it, and one of the more successful episodes from the short lived Animated Series adventures from 1973/1974. It is easy to dismiss the series but by golly there is some decent Star Trek to be had in the scant 22 episodes produced, and this is one of my favorite examples to point to.First time writer Howard Weinstein and series creator Gene Roddenberry dug back into the Original Series and its traditions to craft a tightly wound story hinging on one of the show's favorite standby plot devices: Spock's Vulcan physique, specifically Vulcanian sensitivity to a particular space virus that doesn't effect humans but is fatal to Vulcans. Only a rare drug found on few worlds can save him, and a rendezvous with a dilithium freighter is arranged to give Spock a fighting chance to survive.Wouldn't you know it, the pesky Orions from ""Journey To Babel"" are back, with a small pirate vessel intercepting the freighter, making off with the precious drug, and setting off a classic Trek race against time to track down the pirates & retrieve the drug before Spock goes belly up. Which isn't quite as easy as it sounds, with the Orion's custom of suicide before capture and their use of an asteroid field of unstable explosive planetoids to elude the Enterprise raising the ante to even stakes against a fully armed Federation warship.It all leads up to a fairly tense personal confrontation between Captain Kirk and the Orion commander that is played totally seriously with the threat of death & destruction for all. Pretty advanced viewing for a children's show, as concepts like dying in a huge explosion, one's duty to their world, and ritualistic suicide customs being raised. Even the Orion bad guys come off pretty good, the commander matter-of-factly stating in a superbly written scene that Orion's neutrality comes before the well being of his ship or its crew, and it is not the ravings of a madman.The episode is fast paced, adventuresome, filled with technical lingo that never goes over the head of even the youngest viewer, and most importantly *feels* like a real Star Trek episode. And indeed the usual emphasis on eye popping animated space creatures & situations where the writers could indulge their fantasies without fear of budget constraints is set aside for a sort of hard edged functional feel. This could just as easily been a live action Original Series episode, where many of the Animated Series episodes could not have been staged as they were drawn & rotoscoped.So here is a great example of the Animated Series delivering classic Star Trek by any other name (pun intended). It is a shame that Mr. Roddenberry and his marketing directors chose to de-canonize the Animated Series, a situation that was only set to rights after his passing and the restructuring of the Star Trek franchise. Some of the Animated Series adventures are marvelous examples of the best of what the whole concept of Star Trek had to offer, and it is gratifying to see episodes like this finally receiving the attention they were due.7/10; Even non-fans will find this installment entertaining, and it so involving you may even forget you are watching a cartoon.",7
1,"""Star Trek"" The Pirates of Orion (TV Episode 1974)",One of the Better Ones,"In ""The Pirates of Orion"" a disease fairly harmless to humans but deadly to Vulcans infects the crew of the ship. Spock falls ill and the Enterprise must rendezvous with another Federation ship to get the necessary medicine to cure him before he expires.When the Enterprise makes it to the meeting point though, the Potemkin has been attacked and pillaged by pirates. They track the warp trail to a ship of Orion pirates. Catching them in the act jeopardizes the Orion Syndicate's neutrality with the Federation. Kirk promises not to report them if they give up the medicine and walk away.The two dueling captains beam down to an asteroid to make the exchange. Kirk gets the medicine but the Orions attempt a double-cross, a suicide bombing destroying both ships and keeping the piracy a secret. Kirk stops them and arrests the captain. Spock gets his medicine and survives.Season 2 of TAS is off to a surprisingly good start. The plot of this is coherent and tight for the short runtime. We get to see more of the Orions, a species I love that doesn't get enough screentime. Ignoring the fact that not having this medicine already on board a giant ship feels a but dumb, I couldn't help but rather enjoy this one.",6
2,"""Star Trek"" The Pirates of Orion (TV Episode 1974)",Spock Is Sick,"Spock gets a disease that attacks his bloodstream. There is only one place to get the stuff needed to cure him. Unfortunately, it takes too long to get there. Spock will die unless they have a rendezvous with a cargo ship. That ship is attacked by Orions (pronounced or-ee-ons). They are pirates and attack the cargo ship, taking everything on board. They are not open to negotiations because they will anger the Federation. Kirk meets with one of them. They have a code of death they live by. The ending is pretty weak and not much fun.",6
3,"""Star Trek"" The Pirates of Orion (TV Episode 1974)",Far better than usual,"Far better than usual is in reference to this cartoon series. Normally, I'd give one of the shows a 4--this time it's a bit better due to slightly better writing. As for the animation, however, it's about the same quality as usual...terrible. As always for the show, the cell count is minuscule and this means robotic movement. Also, the characters are just terribly drawn--like a group of 8th graders made the thing.The story finds Mr. Spock ill with a disease that won't kill humans...but it does kill Vulcans. The problem is that it's too far to go to get the medicine he needs, so they need to rely on a ship to bring it towards them and they'll race to get the needed drug. Unfortunately, space pirates steal the stuff and Kirk needs to convince the pirates to be nice guys and give it back! The story ain't great and the ending is a bit limp but at least it is a story- -the type you might have actually seen on the original ""Star Trek"". No stupid looking aliens and nothing that would irritate Trekkies.",6
0,"""Star Trek"" Bem (TV Episode 1974)",Star Trek: Bem,"The Enterprise is studying a planet yet charted, carrying along a passenger (an alien commander named Bem (voiced by James Doohan)) that causes Kirk and Spock much headache once they transport to the surface. On the uncharted planet are ""aboriginal"" lifeforms, primitive to a point (they do have tepees, fashioned spears, and wooden ""holding cells"" for uninvited visitors, yet these creatures don't seem to be hostile as much as cautious and untrustworthy), ""under watch"" by a ""paternal"" god-like entity that exists as a type of protection for her ""children"" (the entity is voiced by Nichelle Nichols). Bem is from a type of species that acts unpredictably (and can ""split"" into several ""pieces"" that seem to function through the commandment of the head's brain!!!), judging the human decisions and reactions of Kirk (considered a top officer and elite among his peers) as evidence for whether or not the Federation will have further dealings with its kind. How Kirk and Spock escape from the capture of the planet's entity and inhabitants will indicate to Bem if the Federation should be considered worthy of future relations. Being used as experiments in Bem's study of them doesn't sit well in Kirk, while Spock finds his behavior fascinating. Like the original series before it, this '74 cartoon featured stories similar in nature: how will Kirk and company avoid/avert dangerous situations and enhance their stature among newly discovered (or known) species. Sometimes situations develop where the Enterprise and crew are pulled into danger not of their own making: in the case of this episode, Bem drags Kirk and Spock into a conflict with a species that could have been avoided through peaceable introduction. Bem splits from the group (both literally and figuratively), with Kirk and Spock having to follow after him. Bem is their responsibility and gets purposely captured just to see if Kirk and Spock could not only rescue him but to investigate how they would interact with the inhabitants. Ultimately, Bem finds itself wrong and speaks of ""disassembling"" (or destroying itself) but the planet's protective entity (it has the power to ""halt"" any species on the planet and destroy their threatening weapons if so choosing) isn't about to allow such a rash self-destructive decision just because it made bad mistakes/choices. The writing, like on the show, for the cartoon wasn't too dumbed down which is nice. Intelligent results exist due to the characters involved coming to an agreement and talking out their issues (the planet is to be ""quarantined"" and left alone so that the Enterprise and crew can leave without harm) reasonably. Maybe the show might be a bit over the head of some children, but intelligent writing in a cartoon is refreshing. Star Trek fans will enjoy this, I think, and that's what matters in the end.",7
1,"""Star Trek"" Bem (TV Episode 1974)",What Was That All About?,"In ""Bem"", the Enterprise is cruising around with a representative from a new Ally of the Federation. Bem and a few crewman popped down to an unexplored planet to study the natives. Bem runs off and gets himself captured. The rest of the episode is Kirk and Spock trying to rescue the guy who can split his body apart since he's actually a colony being.This one's real rough to get through. I'm struggling down the home stretch of the Animated Series. There are a handful of good episodes and a few cool characters and ideas but a lot of this is TOS reject stuff that they slapped onto TAS and called it a day. Nothing good or fun going on in this one.",2
2,"""Star Trek"" Bem (TV Episode 1974)",BEM is pretty weird...and annoying.,"As usual, the animation quality of the show is sub-par--even by 1970s standards (which were extremely low to begin with). The cell count (which controls the fluidity and realism of the animation) is terrible, the drawings amateurish (as if done by children) and the show is an abomination to lovers of animation. Trek fans might be more forgiving of this than most because of their love of the franchise, but objectively speaking it is a lousy looking episode.As for the plot, a Mr. BEM is serving, temporarily, aboard the Enterprise. This weird looking alien starts behaving strangely on a landing party and he's replaced Kirk and Spock's communicators with non-working fakes. It turns out he's testing the two to determine if the Federation is civilized or not--and there is a strange disembodied voice who gets involved as well. Do they pass? And who is that weird voice?This show is kind of weird, as Mr. BEM can split in pieces and do really weird things! As it's a cartoon, this is possible--but there is no way such a character would have been possible on the live action show! Was it good? Not especially good but watchable if you are a die-hard Trek fan. Otherwise, easy to skip--mostly because the BEM character is so stupid and annoying.",4
3,"""Star Trek"" Bem (TV Episode 1974)",How the Grinch Fooled Enterprise,"I'm sorry. This is beyond stupid. Kirk and the Gang and an alien named Ben try to do research on a planet. Kirk relents when the alien keeps at him about going to the surface. Once there, he screws up everything they try to do. He looks like a Grinch in a space suit. He speaks a kind of baby talk. He has the ability to split himself into several pieces which allows him to escape from things. Just a poor excuse for an episode.",3
0,"""Star Trek"" The Practical Joker (TV Episode 1974)",The holodeck makes its first appearance,"This was actually the first Star Trek episode to feature the Holodeck--called the 'Rec Room' here. So, The Practical Joker enjoys an important link to Star Trek: The Next Generation where the holodeck appears so prominently. The Enterprise accidentally enter into Romulan territory and Kirk is now pursued by the Romulans. The crew try to elude the Romulans by entering an energy field...but the field is alive and seizes control of the Enterprise's computer where it launches one 'joke'/trick after another upon the Federation crew. The crew were able to create any environment they choose with the use of the computer (basically the holodeck) but it malfunctions since the energy field places McCoy, Uhura and Sulu in several inhospitable situations. The Enterprise eventually escape the cloud and the pursing Romulans now get entangled in the same cloud instead. Other than the holodeck link with TNG, The Practical Joker was OK but not outstanding.",7
1,"""Star Trek"" The Practical Joker (TV Episode 1974)",I think the practical joke here was on whoever sat through this!,"In ""The Practical Joker"", after fleeing from a Romulan attack through an odd energy field, the Enterprise begins to act strangely. The computer is playing practical jokes on the crew and they become more and more dangerous. Bones, Sulu, and Uhura get caught in a snowstorm in the rec room, laughing gas is pouring through the ship, and the Romulans are in hot pursuit of the Enterprise.In the end, Kirk and Spock tricj it into going through the energy field again (which somehow reverses the effect). The Romulans follow them and then their ships begin to act funny as well.The plot to this really makes no sense but it's cool seeing the initial stage of the Holodeck I guess? Besides this though, there's not a whole lot to love here unless you're a big fan of prank videos.",3
