,episode,rev_title,rev_content,rvr_rating
0,"""Star Trek: Deep Space Nine"" Image in the Sand (TV Episode 1998)",Great season opener,"As season seven opens the crew of Deep Space Nine are still trying to come to terms with the death of Jadzia Dax and the closing of the wormhole; hardest hit are her husband Worf who fears that because she didn't die in combat she can't enter the Klingon afterlife and Captain Sisko who has returned home to New Orleans and is wondering what he is meant to be doing now that he is cut off from the prophets.While playing the piano at his father's restaurant Sisko has a vision of desert planet were he digs in the sand and finds a woman, he does not recognise her but after creating a computer image of the face he learns that his father knew the woman. Sure that the vision was a message from the prophets he readies himself to find it, a task which he is aided in by his son, father and an old friend who appears shortly before he is ready to depart.Back on DS9 Bashir, O'Brien and Quark are trying to arrange for Worf to get a position on a Klingon ship so he may go into combat in Jadzia's name and earn her a place in the afterlife. Things seem to be going well for Kira who is now in acting command of the station but things might get awkward when the Romulans ask to use an uninhabited Bajoran moon to build a hospital.This was a good opening episode which mainly sets up the story for the next episode as it leaves each of the three story lines open. As this series has some of the best characters of any Star Trek incarnation it didn't suffer for being more talky than most.",8
1,"""Star Trek: Deep Space Nine"" Image in the Sand (TV Episode 1998)",lots of introductions ONLY,"This first episode of the final season of ""Star Trek: Deep Space 9"", ""Image in the Sand"" is an important one but not an especially satisfying one. This is because lots of story elements are introduced but there is no resolution of any of them. In other words, you get a taste for what WILL be resolved in the future on the series. When the show begins, Colonel Kira (yes, she's now a colonel) is practically having a love affair with the Romulan leader stationed on DS9. The two ladies seem to be in sync and spend a lot of time congratulating each other...until Kira learns that this 'nice' Romulan is up to something.As for Sisko, he's been off the base for three months and no one has heard from him. Since the release of the Pah-Wraiths, no one has heard from the Prophets and Sisko is out sulking or thinking at his father's restaurant on Earth. Fortunately for his faith, the Prophets deliver him yet another vision...but there is danger just around the corner.Worf is naturally bummed. After all, his wife was just murdered by Dukat and since she didn't die in battle, he cannot hope to meet her in Klingon heaven, Sto-vo-kor. Or, is there some way?And, when the show ends, Dax's new symbiot, Ezri Dax, is introduced. But apart from introducing herself, you know NOTHING about this new series regular.As I said, there are a bunch of plots introduced but no real resolution. The next episode picks up with these but it will take some time for the plots to come into their own. As a result, it's an important episode but one that isn't very satisfying on its own.",7
2,"""Star Trek: Deep Space Nine"" Image in the Sand (TV Episode 1998)",Introducing Ezri Dax,"Of all the Season Openers of DS9, this one set up the final story arc so well that our interest was piqued even with the loss of Jadzia Dax.There has been a minor scattering of the main characters of DS9. A new Bajoran Religion of people worshiping the Pah-Wraiths has emerged. The Celestial Temple has been closed and the Bajoran Orbs are all dark and ""The Sisko"", not knowing what he is to do, is on Earth, mainly sitting in front of a piano at his Father's (Played by the great Brock Peters) New Orleans Restaurant. Worf seeks Honour for his deceased wife Jadzia, who was brutally murdered by the Pah-Wraith/Gul Dukat entity.And so while all of these disparate elements converge, The Sisko sees the image of a woman - A woman who plays an important role in this final story arc. And we meet Ezri Dax, who was not a Trill Host Initiate but was compelled to offer herself as Host to Dax due to an emergency.And this is what I mostly want to talk about - Nicole De Boer is Ezri-Dax. And although she is not explored in this episode that much, she does come to be a major plot element of this final season.When I initially watched these episodes that showed how another Host would be after joining with Dax, I hated the Ezri character and I thought she was rather silly. But I have not seen these eps since they were played on TV in the 1998-1999 season, it has been almost 12 years since the final season of DS9, and now I can watch these final eps, and it is as if I am seeing them for the first time- I had seen each of the eps of the previous seasons, more than once, so I was very familiar with the DS9 story: Of Season Seven I had only vague recollections. And so in December of 2011, I am viewing the final season of what I think of now as a great Trek show, one that was basically dismissed by Trek canonisers because of its vast differences from Gene Roddenberry's Future Earth.Well, this series was NOT about Earth, as The Next Generation and TOS was. This series was shown, in the Season 6 Ep ""Far Beyond the Stars"" - as the imaginings of an under-appreciated coloured Sci-Fi writer of the 40's and 50's, about a Coloured man who was a widower with a young son being the commander of a huge Space Station on the edge of Known Space - A Sci Fi story that would NOT have been published back then. And that story of DS9 was never allowed to be published due to that particular racial bias. So, the way I see it, is that ""Benny Russel"" is the actual creator of Deep Space Nine, long before Roddenberry - And since the story was allegedly conceived in the Post War years, the story has WW-II elements in it. Oh yes, we know that the concept was shown to Sisko in a vision of the Prophets, but who is to say, that there never was a Benny Russel who was never allowed to publish a story of a coloured Captain - In charge of a Multi-Racial and Multi-Species ""Space Station""? Part of Quantum Physics states that our imaginings, the books we read, the TV shows we watch, COULD be other Quantum Realities - Or at least could be stories about ""Alternate Time-lines"" - This is why I like Fringe so much, because it explores that even more than it was explored in Next Generation and DS9.Getting back to Ezri-Dax, it is now apparent to me, that Nicole De Boer was carefully cast, and actually uses many of Terry Farrel's mannerisms, eye movements, ways of speaking - This is one of the best continuations of a character I have ever seen, and I BELIEVE it – I really believe now, that Ezri Dax contains the memories of Jadzia Dax, and Curzon, and all of the hosts of the Dax Symbiote. Sometimes, I forget she is not really Nicole De Boer, who is actually an actress of Merit (The Dead Zone series) - She seems at times to be a shorter version of Terry Farrel. And so as Jadzia was the science officer, Ezri is now a ""Ships Counselor"" of sorts - Because that is the Ezri host's special talent- But when required, she can, and does, tap into the previous knowledge of the Jadzia symbiote, and can sometimes perform a task which a science officer would do. This Season, even explores how the one Host who was a murderer could help Ezri solve a Murder Investigation on the Station. And so, I just say it here, this season opener sets up a whole universe of possibilities for ontinuation of the DS9 story arcs.When I watch this DS9 Ep in particular, the Original Trek Story Arc was still strong, but I knew, that this was the end of Trek the way we had known it for the last 15 years of the TNG universe. So: This episode, represents, to me at least, that Trek was turning down the lights, drinking a cup of Tarkalian Tea, and getting ready for Bed - To be Awakened by JJ Abrams in 2009.",10
3,"""Star Trek: Deep Space Nine"" Image in the Sand (TV Episode 1998)","Prophets, Pah-wraiths, Romulans, and New Dax","The Pah-wraiths are gaining followers.Sisko is taking time off to wash potatoes, pursue art and music, and treasure hunt for prophets. Finds his mom instead.Worf needs a victory not convoy duty so he goes to Vic's to express his frustrations before getting drunk with Obrien and warming his cockles.Kira doesn't trust the Romulans but she makes friends with one anyway and lets her set up a hospital so they can play poker.Demar and Weyoun have an excellent intelligence network.Other notes:Demar's character is developed nicely here. His exchange with Weyoun early in the episodes says a lot about who he is as a man. He's an underrated and often over looked supporting character but I absolutely love him. New Dax is easy on the eyes and easy to like. Nog is the anti-Scrappy Doo, Jake is the anti-Wesley Crusher.Verdict: Strong start to a new season. The writers take their time to develop individual characters and themes to drive the story. Much of what happens here sets the stage for the final episodes.Fun Facts:Neon signs are still a thing in 24th century New Orleans.
Eating the heart of an enemy ensures passage to Stovelcore.",8
4,"""Star Trek: Deep Space Nine"" Image in the Sand (TV Episode 1998)",Moving Forward/Love For Your Fellow,"I liked this one very much. Benjamin has gone back home with Jake and is sitting around wondering what to do. He knows his connection to the prophets is waning. One day he has an image of a desert place where he digs in the sand. He uncovers the face of a woman. This leads to a major piece of information from his father. Meanwhile, Worf is in a rage, destroying things, frustrated that he is helpless to avenge Jadzea. He had hoped she would join him in the Klingon heaven. Other events involve the Romulans who have never been trustworthy forcing themselves into things without consulting the Federation. Sisko now believes that he has what he needs to return as the Emissary but there is one more big surprise for him as he leaves his father's restaurant. This final season looks so great.",9
0,"""Star Trek: Deep Space Nine"" Shadows and Symbols (TV Episode 1998)",Fantastic Episode,"In my country, Guatemala, Star Trek is not a very popular show, in fact, is almost unknown to the vast majority of people, Star Trek DS9 was broadcast intermittently on a schedule that made him inaccessible (12.00 am, 1 am) so because of that and my work, even though I consider myself a true trekkie, it is only now that I could buy it on DVD and see it orderly DS9 series. Far Beyond the Stars, was by far one of my favorite episodes, the story of black writer Benny Russell that at one point could be considered the """" creator ""of the Star Trek universe, it was absolutely fascinating. And it is not until now, October 15, 2012, 14 years after it were originally broadcast, that i finally could watch the episode Shadows and Symbols, and once again the story of Benny Russell, really leaves me speechless, what a brilliant combination of wit, moral lesson, what a brilliant episode. Avery Brooks and the rest of the cast were superb! Guess that's why I love you so much Star Trek, because using my imagination is capable of transporting me to distant worlds and even there, give me a lesson on how to live my life, how to face the challenges of everyday ...it teaches me about being the dream and the dreamer.",9
1,"""Star Trek: Deep Space Nine"" Shadows and Symbols (TV Episode 1998)",Vacay on Tyrie,"Sisko and fam go and a vacation to Tyrie and they bring New Dax along. Lets call her Ezri. She's either irritating or endearing I suppose, but I like her and so do you. After wandering around the desert Ezri helps Sisko find his mom with a baseball.Aboard the Rotaran Worf, Martock, Quark, Juliann, and Obrien honor Jadzia's memory by destroying a Dominion shipyard, as is tradition. When they come under attack the Gem Hadar keep there weapons on their lowest setting in order to make sure they succeed.On DS9 Kira is busy playing poker, going all in on a bluff. Gets a sign from the Prophets thanks to Benny before being bailed out by Ross. Everything I just wrote is true.And finally, on Cardassia, Demar is winning with the ladies while his shipyards are getting blowed up by Worf.Other notes: Far Beyond the Stars is among my favorite episode. Its very satisfying to see more of Benny Russell. Casey Biggs is the perfect choice for Dr. Wycot.Verdict: Satisfying conclusion to the season opener.",8
2,"""Star Trek: Deep Space Nine"" Shadows and Symbols (TV Episode 1998)",The Secret Origin and Godhood of Benjamin Sisko,"This 2nd episode of the Season Seven Intro two-parter finalizes the 3 main arcs that all happen simultaneously:The Sisko's discovery of who he really is and the exact nature of his connection to Bajor and The Prophets, Worf's final Homage to Jadzia and Dax's return to the series in a new host, and Kira's confrontation with a Romulan Senator who wants to keep weapons of mass destruction on one of Bajor's Moons.There could have been a 4th arc: The Dax Symbiote's implantation into a new host who was not prepared for the experience of dealing with the 7 lifetime experiences contained in the Symbiote: Instead, the Benny Russells of DS9 chose to write that part of the arc into several carry over episodes, showing Ezri's adjustment to hosting Dax.Oddly enough, they chose to continue the story of Benny Russell as well, in a ""false vision"" from the Pah-Wraiths, who were trying to prevent him from opening the Orb of the Emissary.The Orb is the key to Season 7's opening: And also to the re-opening of the Wormhole and the ejection of the Pah-Wraith entity named Kosst Amojan.This episode refers back to the ""Novelty Episode"" Far Beyond The Stars, assigning more than mere novelty to that part of the story. As The Sisko is intrinsically linked to The Prophets, Benjamin Sisko is intrinsically linked with Benny Russell, whether he was a real historical figure who originally wrote ""Deep Space Nine"" in the 50's or not.The Cyclic Story of DS9 is actually created here, in this 7th season episode: Without the events uncovered here, the entire series never would have happened. Sisko discovers that he actually IS a ""Wormhole Alien,"" at least in part. This foreshadows events in the final episode.But the Pah-Wraiths really don't want The Sisko to open that Orb, first they send an assassin from Bajor, one of the followers of the new Pah-Wraith religion. When that fails, they send the false vision.Ultimately, Sisko had Dax with him, and she helped him get past the false vision. All of these aspects are blended very well in this Episode, which also looks at the natures of both Kira and Worf. And there is also an unlikely connection of Worf to Bashir, Quark, and O'Brien, through Jadzia.These episodes were a very satisfactory introduction to the Brobdingnagian scope of Season 7.Speaking of Brobdingnagian, we get to see the crew of Worf and Martok's bird of prey ""The Rotarran"" (along with Quark, Bashir and O'Brian), destroy a Dominion artifact of Brobdingnagian proportions. And they do a wonderful number on the thing, it's beautiful. You have to remember a lot of this was practical effects, not CGI. Because they had a genius working on the Star Trek shows back then, Dan Curry.Which was amazing. But what would help put the icing on the cake of this episode would have been to see Benny Russell/The Sisko take that roller-brush and lavish Dr. Wykoff (Casey Biggs) with TWO coats of paint across his face!In my mind that's what happens anyway, when I watch this episode.",10
3,"""Star Trek: Deep Space Nine"" Shadows and Symbols (TV Episode 1998)",Welcoming Ezri and honouring Jadzia,"After the opening episode of the season set up three story lines this episode shows how each of them plays out. Captain Sisko is pleased to see his old friend Dax again even if it isn't Jadzia but the new host Ezri, a young Trill woman who was given the Dax symbiont because she was the only Trill available and as she hadn't undergone the usual training she is still coming to terms with gaining the memories of all the previous hosts. As Sisko, his father and son and Ezri head to the desert planet of his vision to find the Orb of the Emissary other members of the DS9 crew are facing their own troubles. Bashir, O'Brein and Quark have joined Worf on his quest to get Jadzia into the Klingon equivalent of Valhalla, this mission involves taking on a the defences of the Cardassian shipyards which they plan to destroy. If two interesting story lines weren't enough we have a third when Kira learns that the Romulans are stockpiling weapons on the moon where they were told they could build a hospital, this leads to a stand off between the Bajorans and the far better armed Romulans.This episode has many good points; it gives us a great introduction to Ezri Dax, played well by Nicole de Boer, it can't be easy joining a well established ensemble cast were all the other main members have been there since episode one. It was also nice to see Quark doing something that wasn't for profit... even if he did complain quite a lot.",9
4,"""Star Trek: Deep Space Nine"" Shadows and Symbols (TV Episode 1998)",The Sisko Regains His Reign,"We are treated to some new characters and situations. Sisko is at the top of the list. When he was made Emissary, I was suspicious that it was just through happenstance. He seemed to accept his role as a means of appeasing the Bajorans. I've struggled with the supernatural aspects of this series. Now, I'm beginning to see the prophets as beings not unlike the dominion or the Cardassians or the Founders. They seem to have powers that are in line with the rules of this game. This episode also shows what must be done with alliances of evil (the Romulans, in this case, who have asserted their strength, taking advantage of their allies. Colonel Kira plays a dangerous game with them.",10
