,episode,rev_title,rev_content,rvr_rating
0,"""Star Trek: Enterprise"" Storm Front (TV Episode 2004)",Germany Invades the United States of America,"Captain Archer is burned and captured by the German soldiers after destroying the Xindi weapon. Meanwhile the Enterprise's command discovers that they are on Earth in 1944, and Germany has invaded the United State of America; therefore they realize that history has changed. T'Pol sends Travis and Trip in the Shuttlepod One to investigate and they are fired by airplanes. While being transported to meet the evil red-eyed Vosk, the resistance attacks the convoy and Captain Archer is captured by the group. He is arrested and stays in Alicia Travers' house in Brooklyn. In the meantime, the time traveler Daniels totally aged visits the Enterprise and explains that the timeline had been changed and he sent the Enterprise to 1944 to try to fix; otherwise there is no future for the mankind.""Storm Front: Part I"" is an engaging episode of Enterprise. The story shows history upside-down, with the battlefield in the United States of America in the World War II with the resistance acting in New York. Let's see how Captain Archer, T'Pol and the crewmembers of the Enterprise will resolve this situation. My vote is eight.Title (Brazil): ""Tempestade Temporal"" (""Temporal Storm"")",8
1,"""Star Trek: Enterprise"" Storm Front (TV Episode 2004)",The Enterprise vs Alien Nazis,"The final season go Enterprise kicks off with the crew realizing that, after destroying the Xindi weapon, they've been transported back in time to the WWII era. Presumed dead, Archer has somehow ended up on the surface of Earth and is captured by Germans but quickly escapes. However, the timeline is wrong. The Nazis control Washington DC thanks to the help of an alien lifeform. Archer tries to get to the bottom of this with the help of some New York gangsters who are part of the Resistance. Meanwhile, Silik is aboard Enterprise somehow and steals a shuttlepod and heads to Earth. Travis & Trip follow him and are subsequently captured. Archer finds his way back to Enterlrise and a very disfigured Daniels explains the whole situation to T'Pol and Archer. They must stop these alien Nazis from altering the timeline. There's a whole lot to unpack here. We're not easing into Season 4 but are going in full throttle with this extremely confusing plotline. It kind of makes you wonder if the show's creators knew they were in danger of cancelation and decided to ""throw the kitchen sink"" to start this season. This is the second season premiere where Archer is separated from the Enterprise (last time he went forward in time) and both times this issue has been resolved far too quickly. The premise of Archer needing to find his way back is an interesting one but when he reunites with the Enterprise in the same episode this is established, what's the point of even setting this up? Let's make it a longer plot arc! I was pleasantly surprised to see Steve Schirripa in this episode but unfortunately he's sleepwalking through his small role. I did enjoy Golden Brooks' role though. This whole Nazi alien plot isn't for me. I hope this gets resolved next episode so we can get back to what Star Trek does best: exploring space!",5
2,"""Star Trek: Enterprise"" Storm Front (TV Episode 2004)",Alien Nazis!,"One would have thought that after saving humanity from the Xindi at the end of season three the crew of the Enterprise might get some time to relax and get the ship repaired; no such luck however as the destruction of the weapon has sent them into the past. This isn't a past we'd recognise though; it is the middle of the second world war but the Germans have successfully invaded the eastern part of the United States with the help of a race of alien time travellers. The crew believe that Captain Archer was killed when the weapon exploded but in fact he is injured on Earth where once free from his Nazi captors he must find out why history as changed and contact the Enterprise.After the long running Xindi story arc it was nice to see something different, and while using the Nazis as a plot device is somewhat cliché it is given a nice new twist by having them in North America. I liked the fact that the Enterprise is shown battered and bruised after all it has been through rather than being in perfect condition. The one thing I wasn't so keen on was the scene where one of the Enterprise's shuttles is intercepted by US fighters over San Francisco, it was a good idea but the special effects were a bit too obvious.",8
3,"""Star Trek: Enterprise"" Storm Front (TV Episode 2004)",I have not seen a worst episode than this one....,"I have, really, not seen a worse episode than this one! 
When a series does play with time travel it always does go baldy, with the exception of the comedy ones.
First making historical errors is soooo easy. And in American series they make tons of those? can they never get a real historian of the period they try to act into?!
Are ""Nazis"" always caricatures peoples and the USA depiction of resistance is so ridiculous. A person with fear in their belly do not think of anything else than their mission or self-preserves ion, the stupid are often dead before they can do harm to other.
Second touching at even a detail in history can change a lot millions of years later. Or you can take the inverse theory and that history is self-Healing and any change does Nothing to history that shall health/correct itself. But in any case even the worse author know he should not make paradoxes and there are many, to many in this episode of this ""B"" series.",2
4,"""Star Trek: Enterprise"" Storm Front (TV Episode 2004)",World War II?!,"At the end of the season three finale, the Xindi super-weapon is destroyed and somehow Archer and the Enterprise (separately) are somehow shot back to WWII!!! And, when Archer awakens, he's in a Nazi mobile hospital!!! And, the shuttle approaching San Francisco is set upon by P-51 fighters!! Huh?!?!? Obviously this is one strange episode and it's so weird that you HOPE that this isn't a shadow of things to come. Fortunately, this and the following episode are the only Nazi ones and the reason all this occurs is interesting....though quite silly. The bottom line is that if you love ""Star Trek: Enterprise"", don't show your friends these two episodes--they'll think you're nuts. And, for fans, it IS enjoyably strange and very watchable.",7
5,"""Star Trek: Enterprise"" Storm Front (TV Episode 2004)",When Will They Rest?,"After giving everything they had to get past the Xindi and destroy the weapon, how can they go on. The remaining crew thinks Archer is dead, but he is on earth, in the hands of an alien race that is in cahoots with the Nazi's who have invaded the West. Archer meets a black woman in Harlem who is friends with a bunch of gangster types. The talk to a man who gives them information about the clay faced aliens. These guys are going to mess up the time/space continuum. Trip and Travis take a shuttle to the surface and face the worst of the enemy. Meanwhile, Daniels shows up on board the Enterprise. He has been damaged by the travel he has done and lies dying in sick bay. I'm on a wait and see trip here.",8
0,"""Star Trek: Enterprise"" Storm Front, Part II (TV Episode 2004)",Timeline Restored,"Captain Archer and Silik organize with the resistance an attack to Vosk's facility to destroy the conduit that he is building to travel back to his century. Silik is killed by a shot of a Nazi and Trip gather to Archer. The Enterprise flies over New York City heading to the plant and firing photonic torpedoes to destroy the time machine. Daniel is alive again and tells Archer that the timeline is restored back to normal, and the Enterprise returns to two hundred years ahead.Despite the paradoxes, ""Storm Front: Part II' is a good conclusion to the last episode. The evil leader of the Temporal Cold War Vosk is destroyed and I believe that if Daniel is resuscitated, the same might have happened to Silik. The Enterprise is back to the normal period of time and ready for a new adventure. My vote is eight.Title (Brazil): ""Tempestade Temporal – Part II"" (""Temporal Storm – Part II"")",8
1,"""Star Trek: Enterprise"" Storm Front, Part II (TV Episode 2004)",Resetting the time line,"This second part of a two part episodes starts with Trip and Travis in the custody of the Nazi aliens and Archer back on the Enterprise along with a resistance fighter who seems remarkable calm considering she has just been beamed to a space ship. Archer manages to negotiate for the freedom of his two but soon finds out that one of them isn't who he seems; instead of Trip he finds he has rescued Silik, a Suliban temporal agent. As Salik has the same aims as Archer the two of them work together to return to the surface and destroy the time conduit being constructed by the alien Nazis.This was a decent episode with some nice action scenes. It was an enjoyable twist when the person we thought was Trip turned out to be Silik. Of course it is always nice to see Nazis having their evil plans thwarted and if they are alien Nazis so much the better.",7
2,"""Star Trek: Enterprise"" Storm Front, Part II (TV Episode 2004)",Hard Reset,"In the second half of this two part episode, Archer must work with Silik to destroy Vosk's time machine in order to fix the timeline. He also needs to track down Trip, still within the compound somewhere. If he can't do this in time, everything maybe lost!It seems like the show's creators are tying up loose ends by killing off Silik and ending the Temporal Cold War. Boy, do time travel episodes make my head hurt! None of this really makes any sense but I guess that they just wanted to start fresh and get all this behind them. After building up this Temporal Cold War practically all series long, it really ends in a bit of a whimper. Very lame but hey, we no longer have any through lines holding us down and this gives the writers an opportunity to explore new plots and characters. Could they have dealt with ending the Cold War better? Yes, of course, but it's shadow no longer hangs over the series. Note: Did we really need to bring Nazis into this to finish up this plot thread? Very silly... I will moss the character of Silik though.",4
3,"""Star Trek: Enterprise"" Storm Front, Part II (TV Episode 2004)","The second part of this WWII era episode is even weirder, as Archer and Silik become allies!!","Of all the episodes of ""Star Trek: Enterprise"", this two-parter is the strangest. I am not sure if it's because the show jumped the shark or they were being really clever. All I know is that it is strange and I could see how fans might be a bit put off by this.Part one brought the Enterprise to WWII-era Earth. The Nazis, inexplicably, are being helped by aliens!! Because of this, they are kicking American butt! So why would these ugly-faced galactic dudes be on Earth and why would they help the Nazis?! If that isn't strange enough, you'll see Archer team up with mobsters to help defeat them...as well as Silik!!! If you remember, Silik is the time traveler who battles the good time cops! To see how all this works together and actually makes sense, see the show. It's well done but perhaps too goofy for my taste.",7
4,"""Star Trek: Enterprise"" Storm Front, Part II (TV Episode 2004)","Why do you do this to me, Enterprise?","After two years of being as bad or worse than ""Voyager"", Season 3 of Enterprise pulls the Xindi story arc, a full season set entirely upon the Enterprise going into the Delphic Expanse, trying to contact and stop a race called Xindi from destroying Earth---a race that is surprisingly NOT all evil wicked villains, even the stereotypical bad guys, the Reptilians and Insectoids, though they are clearly the more antagonistic of the five sub-species.Then season 3 ends with the big resolution payoff and... ALIEN Nazis! And before I can bawl with laughter at the stupid, they put forth a compelling storyline, intriguing characters, and deep layers to the story, including the Suliban.In the first episode, we are introduced to an alternate timeline, where Nazi Germany has invaded and occupies the eastern coast of the United States, and characters like the stereotypical 30s gangster are now insurgent freedom fighters. A wicked-looking alien race is apparently helping the Nazis, giving them technology and military assistance in exchange for supplies and resources to build a Conduit, to send them forward in time to where they came from.These aliens apparently went back in time with the intention of starting an actual war from the Temporal Cold War and changing the timeline.And yet in completely un-Star Trek Enterprise fashion, these ""wicked-looking"" aliens are not just outright bad guys. Even though they share in common with the Nazis beliefs of racial superiority and purity, they're willing to help Enterprise, and even revert the changes to the timeline in exchange for helping these aliens.And yet the layers of politics and diplomacy with the aliens, the Enterprise crew, the Suliban Silik, the future-Federation, are so complex (for Star Trek post-DS9) that Daniels' faction of the Temporal Cold War helps the Suliban, and is considered to be tyrannic by the evil-looking aliens for their constant interference and meddling in the timeline, and Archer ends up helping Silik after an agreement with the aliens falls through.Season 3 was a huge step up for Enterprise, not just in being ""not as awful as Voyager"" territory, but even coming close to matching the average TNG episode in terms of quality. Hard decisions were made (""Damage"" was incredibly blunt in this regard, with Archer forced to attack and loot an unarmed civilian vessel in order to fix his warp engine, stranding these people 3 years from their homeworld), character development evolved even the stupidest, hackneyed characters like Trip ""Catfish"" Tucker, and Archer became so involved in his mission and so desperate, he becomes prome to fits of anger, he would resort to torture, threats, and as mentioned above, attacking civilians for a greater good.This is no longer ""Voyager""-style Star Trek, where strict adherence to the Prime Directive (or smug referencing of a future potential Prime Directive) is maintained even at the cost of lives and moral decency, with a technobabble resolution or hackneyed plot device to save the crew from making any realistically harsh decisions.I hope season 4 continues to better itself in this regard. If so, it'd be an immense tragedy that Enterprise fell to cancellation so soon. The first two seasons of Enterprise were truly terrible, however, and apparently they were the deathknell of the series entirely.Which is a tragedy, given that ""Star Trek The Next Generation"" had two full seasons of awful episodes before Season 3's vast improvements saved the series and even elevated it to iconic status, or Voyager having all seven seasons of mediocrity continue unabated.",10
5,"""Star Trek: Enterprise"" Storm Front, Part II (TV Episode 2004)",Finally Some Rest,I appreciated that this set of events was handled in two episodes. I don't know if I had the staying power to try for 24 episodes to handle the Nazis. Archer must enlist the Suliban commander and the earth people to attack the time machine being built. One problem with the Suliban is their shape shifting which added an element of doubt over who and what was real. The whole business with a bunch of gangsters was a bit absurd. They were able to overcome the Nazi's with nary a casualty. I wasn't as engaged in this one because the villains weren't as well developed.,8
6,"""Star Trek: Enterprise"" Storm Front, Part II (TV Episode 2004)","bad history, big plot holes, but entertaining","Clearly, the writers of the series have issues with their knowledge of history and their ""temporal cold war"" timeline play. Assassinating V. I. Lenin before the 1917 Bolshevik revolution would probably not have stopped it, and even if it had, precluding the Bolshevik Revolution would likely have drastically altered the end of World War I to Germany's disadvantage, not given Germany an advantage in World War II. Even assuming their treatment to be correct history, however, the writers still failed to explain how the timeline damage done by that particular event (an event that happened 28 years before the time of the episode) was reversed by killing one Nazi commander and a dozen aliens. The only solution I can think of requires about 5 different time-related paradoxes. Still, it made for a very entertaining few episodes, despite the horrific flaws in writing.",6
0,"""Star Trek: Enterprise"" Home (TV Episode 2004)",It Is Good to Be Home,"The Enterprise returns to Earth and Captain Archer and his crew are welcomed as heroes. In his speech, Archer recalls the twenty-seven crew- members that died along their mission. While the Enterprise is in maintenance, Captain Archer is invited for a debriefing for the Starfleet high command and the crew is released on vacation. T'Pol invites Tucker to visit Vulcan and stay in her home; however she finds that her mother T'Les was forced to an early retirement since the Vulcans blame T'Pol for the incident in the Vulcan sanctuary of P'Jem. Further, the only chance her mother has to return to her active life is through the wedding of T'Pol with her former fiancé Koss, whose father is very influent. Meanwhile Dr. Phlox goes to Earth with Lieutenant Reed and Ensign Maywheather and while drinking in a bar, he finds the prejudice of earthlings with aliens after the Xindi attack. In the debriefing, Archer feels offended by the Vulcan Ambassador Soval and while the report is on hold, he climbs the mountains with his old friend Captain Erika Hernandez to calm down.""Home"" is a very emotional episode of ""Enterprise"" where the best part is the series of revelations disclosed to Tucker and T'Pol in Vulcan and the climax is certainly the wedding of T'Pol. The analogy of the September, 11th with the Xindi attack and the consequent prejudice with aliens is very clear and is the strongest part of this episode. The effect of the assignment to the Expansion to Captain Archer is less engaging than it should be, but is not bad at all. In the end, it sounds ironic the salute of Captain Archer in the beginning telling that it is good to be home since most of the crew-members are feeling outcast indeed. My vote is nine.Title (Brazil): ""Lar"" (""Home"")",9
1,"""Star Trek: Enterprise"" Home (TV Episode 2004)",Back to Earth... and all is not well,"Finally back on Earth and at the correct time the crew of the Enterprise receive an official heroes welcome, however once the pleasantries are over things don't go so well, when Dr Phlox accompanies Malcolm and Travis to a bar he finds himself being abused for being an alien, Captain Archer finds himself in front of an enquiry over an indecent which took place some time before and when T'Pol returns to Vulcan with Trip she learns that her mother has lost her job due to T'Pol's involvement in exposing a Vulcan spying system hidden in a Vulcan sanctuary... she learns that the only way to help her mother is to marry a fiancé who she has no interest in.This was an interesting episode which served almost entirely to introduce us to the new situation the crew find themselves in rather than to give the viewer a single story. By the end of the episode none of the issues was resolved, this may sound unsatisfactory but I found it to be a good character driven episode which left me keen to learn how the various plot strands will work out.",8
2,"""Star Trek: Enterprise"" Home (TV Episode 2004)",Guess who's coming to dinner....Vulcan style.,"While ""Home"" is an interesting episode, it's also a very 'small' one-- where very little actually happens during most of the episode. There are no villains, no explosions, no serious problems---just the crew having some shore leave now that they've saved the Earth. Much of the show illustrates how stupid people are in the 23rd century--both on Earth and on Vulcan. After some partying to celebrate their return, Phlox is treated like crap by some xenophobic jerks. And, on Vulcan, Tripp accompanies T'Pol and T'Pol's mommy makes him feel about as welcome as herpes--at least initially. Again, xenophobia has reared its ugly head in these pre-Federation days. As for the Captain, he's got a lot of self-doubts. The only really important occurrence is at the end...and it happens to T'Pol. Overall, an interesting and mostly uneventful show.",7
3,"""Star Trek: Enterprise"" Home (TV Episode 2004)",They Don't Understand!,"If you've ever done something that was emotionally and physically involving and suffered greatly to achieve an end and succeeded, only to return to your previous life, you can appreciate this episode. There is no way the earth people and the Vulcans can begin to appreciate the gravity of such accomplishments. There are two things at work. First of all, there is the adulation and hero worship from the fickle public. Secondly, there is xenophobia and bigotry, directed at anyone who does not fit the status quo. Archer is reeling from having to be a person he never imagined in order to fulfill his mission. He had to sell out his morality at times. He had to kill. T'Pol loves Trip but Vulcans have their own rules and traditions and he is out of place on their planet. It is here that the realities become so overwhelming. I thought this was a good, necessary episode, even if there was no combat or special effects to dominate the screen.",8
4,"""Star Trek: Enterprise"" Home (TV Episode 2004)",The disillusionment of space travel,"In the tradition of TNG's ""Family"" this episode is one about characters. Following the end to the Xindi arc that dominated season three and the previous two episodes that put an end to the temporal cold war arc, our crew returns home for a warm happy reception, but after everything that has happened in the last year it is a little bittersweet for the heroes Enterprise.Archer's storyline is what is really enjoyable about ""Home"", and we get to see a different captain than the ones that came before (after?). Here we get to see what the last year and Archer's entire time as captain has done to him. He is suffering from a state of disillusionment. He went forward to explore strange new worlds with a wild eyed optimism and excitement and now after discovering all the villainous species out there the spirit of adventure he once possessed has now been replaced with a hardened military man who sees enemies everywhere he turns. The other main storyline is satisfactory and concerns the budding romance between Trip and T'Pol. This one also has a storyline I wish would have been an entire episode unto itself and that concerns the growing xenophobia of the people on Earth following the attack by the Xindi. Fortunately, that story arc comes to fruition a little later on in the season. ""Home"" is not an amazing episode by any means. There are not any amazing battles or rich moral drama. It is all about the characters and this one does what it sets out to do and offers us a unique glimpse into our crew.",8
