,episode,rev_title,rev_content,rvr_rating
0,"""Star Trek: The Next Generation"" Descent: Part II (TV Episode 1993)",Brothers and emotions.,"ST:TNG:153 - ""Descent, Part II"" (Stardate: 47025.4) - this is the 1st episode of the 7th and last season of Star Trek: The Next Generation.As the episode opens, it is revealed that Lore (Data's evil brother) is behind the attacks and the unification of the self-aware Borg, and also responsible for giving Data his negative addictive emotions (via the emotion chip from ""Brothers"" that Dr. Soong created for Data), thereby making him loyal to Lore. They have captured Picard, Troi, and Geordi, while Dr. Crusher remains in command of the Enterprise (facing her own challenges). And, Riker and Worf (still on the planet with 45 others) soon encounter another group of self-aware Borg lead by Hugh (again played by ""I, Borg"" Jonathan Del Arco).Find out what happens in this exciting ""Descent"" conclusion episode. Only real complaint is that Hugh doesn't meet Geordi (his ""friend"" from ""I, Borg"") in this episode, which I found disappointing.Trivia note: Dr. Crusher uses the metaphasic shielding she learned about in the 6th season episode ""Suspicions"" to outrun the Borg. The emotion chip seen in this episode will reach its conclusion a year later in Star Trek: Generations. We see Spot again too.",
1,"""Star Trek: The Next Generation"" Descent: Part II (TV Episode 1993)",The Lost Boys,"By the time I began watching TNG, the seventh season was already in progress. Still to this day, I am a TOS Star Trek guy and I didn't want to even experience the second show. As a teenager, my parents started watching it and I caught most of the show. This was one that I missed for some reason.After the show went off the air, a writer from Entertainment Weekly wrote about each episode of the show, ranking them in order. This was one of the lower ranked episodes and possibly the lowest ranked two part episode. This was due mainly to the treatment of the Borg. The once ultra cool cyborgs which to this day are still the most formidable foe of the Federation (I used the alliteration on purpose)were used so poorly. He referred to them as ""the lost boys"" of the galaxy, and the Peter Pan reference was accurate. The show never really makes clear what happened. Hugh explains that the Borg were of one mind and his individuality messed that up. This makes no sense whatsoever. If the Borg are incapable of taking away individuality and placing that mind into the collective, then the Borg cannot exist. Simply what they have been doing forever cannot be done with one Borg drone? And the argument that it couldn't be done with Hugh because he is already a Borg is not valid either. They took the simplest thing the Borg are capable of doing and made them incapable of doing it. It was asinine. Beyond that, the episode seems to imply that this was an effect that affected the entire collective. It also implies that it was only these Borg. This sets off a chain of events that makes the Borg harder to understand. We start learning that the Borg ships individually are collectives not linked to the whole. Then we are told all ships are linked to the whole. It gets confusing, and it started with this sub average episode.But even putting the Borg to the side. This episode is disturbing for the experiments that Data puts his friends through. Lore has all the compassion of the Jigsaw killer an making Data do it was sickening. I doubt I'll ever watch this again.",5
2,"""Star Trek: The Next Generation"" Descent: Part II (TV Episode 1993)",Lore is evil and obnoxious...and he does it with a twinkle in his eye.,"This is the second part of a two-part series--ending season six and beginning season seven. In the first part, the Borg attack the Enterprise. But it's not THE Borg but an odd offshoot. Oddly, at the end of this episode, they learn that Lore, Data's evil twin, is behind it all--and he takes several of the crew prisoner.This second part has two main plots. With lots of the crew on the planet looking for Lore and the Borg, Dr. Crusher is in command and must contend with the Borg and rescuing the crew--no small feat. The main plot involves Data, who is under some sort of mind control by Lore. Can Geordi and the other prisoners manage to break through Data's new programming to get him to refuse to do Lore's evil bidding?All in all, this is a very exciting finale--and I almost always love these two-parters because there's so much action and mayhem! Well worth seeing--especially since Lore is so wonderfully bad!",9
3,"""Star Trek: The Next Generation"" Descent: Part II (TV Episode 1993)","Metaphasic Shielding, Captain Crusher and Ensign Taitt","This episode is a great piece of evidence that in Trek, there are hardly any ""throw away"" gadgets or gimmicks. Already we are revisiting ""I, Borg"" and ""Brothers"" and in this finale, also season 6's ""Suspicions"".Picard, Geordi and Troi are captured by Lore and Data - Data is NOT himself. His Ethical Subprogram, the one thing that makes him different than Lore, has been shut off. Crosus (Brian Cousins) shut it off in the last episode. In fact Crosus is Lore's number one Crony. Meanwhile, away teams are out on the surface, and Worf and Riker while trying to track Picard's whereabouts, find Hugh's secret lair- So we see that Hugh may have been the catalyst for this new state of Borg Individuality, but he did not exploit it - That in fact was Lore.But ""Captain Crusher"" is on command of the Bridge - And is attacked by the huge Borg Monstrosity-Ship while the away teams are planet-side.With about a minute to beam everyone up, they get all but about ""47"" crew-members who are on the planet before she is chased off by the huge Borg Non-Cube ship - She traverses the Trans-Warp Conduit and sends out a beacon, then goes back to try to get those 47 crewmen.And this is where we meet Ensign Taitt (the gorgeous Alex Datcher) - Low Ensign on the Totem Pole, Crusher keeps her handy on the Bridge and this is good for her, and us as well. James Horan, who was the evil Jo'Bril in ""Suspicions"" shows up as ""Lieutenant Barnaby"" - And this is a mix for some great Bridge Interaction.Down below, Data begins to torture Geordi, who had seen with his VISOR that Lore is in fact controlling him. Lore orders Data to take the VISOR away. Riker and Worf confront Hugh - Hugh gives us the history behind this change in the Borg, but he will not help Riker and he still blames The Enterprise and crew for what had happened to them. But he does show Riker how to get into the main complex.Meanwhile Crusher goes back to the planet, on the opposite side of where the Borg ""Winchester Mystery House in Space"" is, and is able to beam up all but Riker and Worf and Picard's party - So, with nowhere to run heads for the SUN. Because she has a plan.She uses the Metaphasic Shielding tech left over from ""Suspicions"" to enter the stars Corona, and stays there, while the Borg ship waits.Picard with Geordi's help is able to reboot Data's Ethical Subroutine, it's a guess when and if it worked. In fact it works right away, while Riker, Worf and Hugh (who had changed his mind) get into the main Borg- Palais.Ensign Taitt has a way to get the Sun to Flare Up - As Worf's brother Kurn had done with his warp drive in Redemption Part II - And is seen again in Deep Space Nine, Season 7, Episode 2, Worf uses the same technique to blow up some Jem'Hadar Shipyards. This is also where Ensign Taitt and Lt Barnaby have some great discussions.Despite this treatment of The Borg, many of the other aspects of this episode were central for some of the best episodes of Next Generation and Deep Space Nine. And the Data/Lore storyline is finally given an ending. We are left with the impression, despite all he had done, Lore really did finally have love for Data. Data still cannot share this, but Lore had the emotion chip - And Data will not have it until ""Generations"". And my favourite part of this episode is as Lore is deactivated, his eyes cloud over and we can see the life going away.So we see here that Lore, not having Data on hand to share the emotion chip with, was using it to influence The Borg, who were at least halfway ""artificial"" - It also explains why Lore had sent Crosus to get Data. Lore was trying to make The Borg as totally electronic as he was, we saw the destroyed Borg Drones he had experimented on.And I think, this is a hard story to swallow, not because of the native change in the Borg, not that the Borg had been destroyed - We know from this episode that the rest of the Borg Collective had not been affected by Hugh. Some of this was explored in Voyager. But the juggling of Data/Lore/Borg and Metaphasic Shielding, perhaps was too much stuff for the average fan to digest. But as I revisit these two episodes, the more I enjoy them, the more connections I find in them. And I always loved the Lore episodes, where Brent Spiner plays against himself.My Only Regret is that ""Hugh"" - Jonathan Del'Arco - Did not have a reunion with Geordi, there was simply no time for it, maybe something was filmed, but it was impossible to fit it in to this story. So I have to believe Geordi would not have left before talking to Hugh, and I imagine that the two had a discussion before parting- It's just Offscreen.",10
4,"""Star Trek: The Next Generation"" Descent: Part II (TV Episode 1993)",The worst plot devices all crammed into a single two part episode,"The writers resort to 2 dimensional comic book characterizations, 19th century plot devices and lapses in logic in this 2 part episode.Lore is a smirking ""Eevyil Genius"" with a master plan for elimination of inferior beings and Universal Domination. He has set up silly structure with vaguely fascists looking symbolic elements where a few Borg have become his minions (meaning, of course, they are cannon fodder who can only hit non recurring characters in hand to hand combat, are hard to kill when it isn't important, but extremely vulnerable when being killed moves the plot along.We know all of this, because, instead of doing what bad critters really do, and just doing their evil deeds, Lore must tell his victims exactly what his plans are, and, also, provide sufficient scenarios in which his victims can concoct escape plans. This results in several 1960s style expositional scenes in which Lore almost produces a ""Mha-mha- mha, victory is mine"".The Borg guards fall for a ""Captain isn't feeling well"" get out of force field ruse because, of course, they have deep wells of empathy for humans. The day is saved by a ""get in touch with your better self"" speech in which Data is reminded who his true friends are (with a touch of technobabble and deus ex machina technology to help things along.)In the end, we have a suitably melancholy ending, with just the right amount of hope, as Data chooses to give up emotion so that he doesn't become a monster, but his one true friend, Geordi, intimates that, maybe, in the future he will be ready.Hugh the Borg is told to look into himself and find leadership qualities, because all things touched by the Enterprise become ""the most important thing of their kind in the Universe.""All in all, writing out of our naive past, without the cheesy charm of brilliant hammy actors.",3
5,"""Star Trek: The Next Generation"" Descent: Part II (TV Episode 1993)",The Descent of our opinion of Data,"Brent Spiner stated that playing Lore was much easier for him than playing Data because he is much more similar to Lore. When you watch this show and previous episodes in which Lore was featured, that statement should scare the hell out of you. Yet if you've interacted with the man at a sci fi convention or read about other people's interactions with him then you know that the statement is accurate. He is a good actor and a creepy human being.This episode is a bit of a mess. As other people have remarked here, everything seemed to be wrapped up a bit too tidily. Data, who seemed quite psychopathic in most of the first episode and until the final few minutes of this episode, suddenly realizes that maybe doing Nazi-like experiments on his friends is bad because.... ummm, the episode's runtime is almost over, I guess.Data's personality in this two-part set is extremely disturbing. It taints whatever goodwill we had for his character. When he receives mild doses of feelings from Lore his reaction is to kill or torture to continue to receive more doses. If you believe that Lore is stripping his autonomy from him by this method, you are let down when you see him beg for more of it when he begins to return to a robotic mindset. I also remember that when his emotion chip was active in the movies he seemed like a cowering imbecile. In other words, when Data is left to his own devices, he seems unlikeable and maybe even abhorrent.I enjoyed the return of Hugh, yet as other people have noted here, his story about how his newfound autonomy almost destroyed the Borg was confusing.This show's good acting is almost ruined by writers who didn't seem to know what they were doing-- writers who caused us to question our fandom for Data.",4
6,"""Star Trek: The Next Generation"" Descent: Part II (TV Episode 1993)",Data turns 'evil' and Beverley flies into a sun,"At the end of the previous episode we saw Picard, Geordi and Troi surrounded by rogue Borg as Data's brother Lore tells them that he and Data will destroy the Federation. They are taken into custody and Data takes their communicators and Geordi's visor. They then start speculating how Lore may have persuaded Data to turn on his colleagues. It is determined that he gave Data negative emotions and somehow disabled his ethical subroutines to 'cure' him they will have to find a way to restart these subroutines. Meanwhile the Borg ship returns and Riker orders Dr. Crusher to beam up as many of the away teams as possible then return to Federation space via the sub-space conduit. She returns to the conduit but doesn't enter; instead she sends a message buoy before returning to beam up more people. The Borg ship attacks and she orders the navigator to take the Enterprise into the sun using the shield modifications that were first introduced in the episode 'Suspicions'. Riker and Worf meet a familiar Borg, who has not been seduced by Lore's ideas, and attempt to rescue Picard and the others.This episode provides an exciting conclusion to a two part story and a great start to season Seven. The big question at the end of the last episode was 'how could the ever-reliable Data turn on his friends?' and here we learn just how Lore engineered it for him to be given certain negative emotions before over-riding his ethical subroutines. Having Data acting out of character and his 'evil' brother Lore appear in the episode gives Brent Spiner chance to be a little less restrained which is a lot of fun to watch. This episode also sees Gates McFadden take her character into a more interesting direction as Dr Crusher is left in charge of the ship and has to make decisions that could have life or death implications for all on board rather than just one patient. The story is exciting with plenty of tense moments; most notable as Data performs potentially fatal experiments on Geordi. It was nice to see how this story referred back to events in previous episodes. Overall a great start to the seventh of final season of TNG.",9
7,"""Star Trek: The Next Generation"" Descent: Part II (TV Episode 1993)",Overcoming Your Programming,"There are two issues at work here. The future of the Borg (disconnected) and the futures of Data and Lore. Data has been neutralized and a chip producing negative emotions installed. He has hooked up with Dr. Soon's miscreant throwaway child, Lore, who has become a threat to the Universe by engaging independent Borg (the product of Hugh's leaving the hive). This is mostly about Data and his ability to function (not unlike the Borg with his analytical side butting up against the good side). The problem for Lore is that he is unprincipled and evil and has no redeeming qualities. He destroys everything in his path for power, and because he is so transparent, he alienates those he must enlist in his schemes. Data begins to see the illogic of these actions, and while he longs to experience emotions again and to advance his humanity, there are things within him that block the pathways. Simply stated, he is only partially sure of things and that becomes a dilemma for him. This is a neat episode, even if one is concerned only with the fate of the crew members and Captain PIcard.",9
8,"""Star Trek: The Next Generation"" Descent: Part II (TV Episode 1993)",The sons of Soong have joined together,"Picks up rather nicely from the cliffhanger with everyone separated, Beverly at the conn and Data corrupted by a sociopathic brother. But Lore was easily my least favorite aspect. This episode got much more mileage out of Beverly onboard the fleeing Enterprise, skeleton crew and hiding from the Borg ship (in the Sun!). These scenes had all of the story's energy and tension.7/10",7
9,"""Star Trek: The Next Generation"" Descent: Part II (TV Episode 1993)",I'd rather watch a Sons of Soong spin-off series,"So let me get this straight. The Borg perpetuate themselves by assimilating individuals into their collective. But when they assimilate Hugh back into the collective his individuality causes a catastrophic systems failure? Their entire existence is based on the assimilation of individuality, but if a Borg regains individuality and then is assimilated a second time his individuality cannot be processed? Okay that checks out.The enterprise has a complement of over 1000 people. Let's be generous and assume the skeleton crew aboard the enterpriser consists of 200 people and that another 200 aren't officers (family of officers, children, ect.). That's 600 people on the planet. After 50 seconds of beaming there are 73 people left on the planet. After 15 more seconds there are only 47 people left. Working backwards that's 26 people every 15 seconds which means about 87 people were beamed off the surface during the preceding 50 seconds for a grand total of 113 people pulled off the surface. Plus the 47 left on the surface that's 160 people that were looking for Data and a skeleton crew of 840 left on board the enterprise. Okay good that checks out too.Lore and Data want to create a race of purely artificial life forms by cobbling together a visor with Borg technology. Oh wait, its because Geordi can see the carrier wave Lore is using to manipulate Data. Got it.Hey look, there's a chair on the bridge, not the first time I've seen one of those, where are they stored? The Borg ship is massive and unaffected by the Enterprises weapons. The Borg's weapons can knock out warp drive while the shields are up. No special generators are needed for metaphasic shielding, just a computer program. Got it; checks out.Other thoughts:Crusher, Tate, and Barneby's efforts to battle the Borg ship are by far the best part of this episode.Its nice to see Hugh again. I really like I Borg, but I didn't want or need a follow up. Now that there is a fledgling colony of independent Borg on a remote planet a follow up does seem appropriate, but it never comes.Finally, I wish I wish I wish Geordi didn't stop data from destroying the emotion chip as this episode is directly responsible for the Data we get in Generations and that Data is the absolute worst.I want a spin-off series featuring ensign Tate. I imagine she can get any posting she wants with ""destroyed a Borg ship"" on her service record.Verdict: Semi-enjoyable, mostly forgettable, bad for canon.Fun facts:47 People were left behind after the Borg ship attacks.The words bouye and buoyancy occur with alarming frequency. Well 3 times but still.The Sons of Soong is (or was) a band working and recording in Oakland county Michigan. They released an album called ""Stillborn and Afterbirth"". I know this sons made up but I assure you it is not. Google it.",4
