,episode,rev_title,rev_content,rvr_rating
0,"""Star Trek: The Original Series"" Spock's Brain (TV Episode 1968)",Forget the smug derision this episode gets. It's Trek at it's goofy best.,"Trek at it's best is sublime, at it's worst embarrassing to watch, but why is this episode so panned? It is great fun. Admittedly one is left feeling one has watched some sort of pantomime special, or a Trek equivalent of Police Squad. However, there are far worse episodes in series three - The Way to Eden is at the bottom of the barrel in my opinion - and I'm personally grateful that the studio pulled the plug as the scriptwriters were rapidly running out of new ideas.The plot is simple. A matriarchal underground society steals Spock's brain because their old one - which controls all their underground machinery - has broke. See? Perfectly understandable. Kirk, Scotty and McCoy beam down to rescue him/it, in the process discovering there's a bit more to this act of theft than first appears.Would it be a spoiler to reveal that Spock is reunited with his brain ready for the next episode? DeForest Kelley is a delight to watch as the stressed brain surgeon, and his banter with Nemoy immediately after is equally entertaining.Forget the smug derision this episode gets. It's Trek at it's goofy best, up there with The Trouble with Tribbles and various other ""don't worry too much about the plot"" episodes.",8
1,"""Star Trek: The Original Series"" Spock's Brain (TV Episode 1968)",An ominous preview of season 3,"I was reading Leonard Nimoy's wonderful 1995 book ""I am Spock"" where he described this show as an embarrassment to the original Star Trek TOS series and ""an ominous portent"" of things to come in season three. (p.114) I'm afraid I have to agree with Nimoy: the script is so full of holes that one could drive a car through it. Basically, a beautiful young woman appears mysteriously on the Enterprise and steals Spock's brain. Then the Enterprise crew track this intruder down to a planet called Sigma Draconis VI which is going through an ice age where primitive cavemen subsist on the surface whereas a sophisticated civilization of women--that have Spock's Brain--live underground. Once the Star Trek crew beam down and overpowers the female leader of this 'civilization' called the Eymorgs, they operate to restore Spock brain to his body. Soon, you have Spock's brain coming alive and actually instructing Dr. McCoy on the means to attach his brain to his head mid-way through the operation. Frankly, the script for this episode is 'brainless' and atrocious. Nimoy notes that one of the major defects in this show included the basic question of how these women could survive without going extinct since they were completely segregated from the more primitive male population on the planet's surface. (pp.115-16) Moreover, the part where Kara, the Eymorg's leader, infamously says to the Enterprise crew when questioned about Spoc's Brain: ""Brain and brain, what is brain?"" is not credible even with the excuse that her 'creator' empowered her superhuman knowledge that lasts for only 3 hours. To put it succinctly, the plot is simply abysmal. It would have been preferable if the producers had chosen to screen 'Spectre of the Gun' at the start of season 3--which was actually the first episode produced--rather than Spock's Brain which was only the sixth show made this season. As Nimoy aptly writes, ""frankly during the entire shooting of that episode, I was embarrassed--a feeling that overcame me many times during the final season."" (pp.115) He was right: there were many more turkeys to come in the form of 'And the Children shall lead,' 'The Way to Eden', 'The Lights of Zetar,' or 'The Cloudminders' where Spock tells a woman he barely met about Vulcan's mating habits--a subject which he was too aghast to reveal to captain Kirk in ""Amok Time."" Frankly, many of the scripts of season 3 are highly uneven or poorly conceived: for every 1 good episode, you got 2 to 3 clunkers. The reason for this decline was that most of the experienced crew--Roddenberry, DC Fontana, Gene Coon--who made Star Trek such a success in seasons 1 and 2--had quit prior to season 3 leaving the show in the hands of new movie makers who didn't know what made Star Trek special. Moreover, NBC slashed the show's budget in its final season. This led to more and more Star Trek episodes becoming progressively less believable or just plain awful. This episode displays the end result. Frankly, its amazing that several good to excellent Trek episodes such as 'Day of the Dove', 'The Enterprise Incident', 'The Tholian Web', 'All Our Yesterdays', 'Requiem for Methuselah' or 'Elaan of Troyius' were actually made this season. This reflects highly of the professionalism of the Star Trek actors and their beleaguered season 3 executive producer, Fred Freiberger.",2
2,"""Star Trek: The Original Series"" Spock's Brain (TV Episode 1968)",brainless but fun,"This is one of my favorite episodes simply because it's one of the goofiest. Spock's brain is stolen, and the crew go in search of the brain. What makes the episode so amusing is McCoy using a remote control to drive Spock's body -- sit, stand, go forward, turn.No, this episode did not push the boundaries of science fiction. It did not feature amazing acting talents, riveting dialogue, nor astonishing plot twists. But it was damn funny, and not because it was trying to be.And the ""teaching"" helmet is a gas too. Kudos to the props department.Don't skip this one!",10
3,"""Star Trek: The Original Series"" Spock's Brain (TV Episode 1968)",Brain and Brain! What is Brain?,"Here I am, at the start of a new year, watching ""Spock's Brain"" again. There goes one resolution down the drain. It's unfortunate that this episode may have been the introduction for many viewers to the Trek series (it was the 1st broadcast of the 3rd season). What a difference a new season makes! Like ""The Trouble With Tribbles,"" this is one of the most famous episodes, but for different reasons, having to do with the epitome of lousiness. Knowledge of Trek's cheese factor may have spread from this point. There's really nothing wrong with the plot, on paper - an early version of ""Star Trek III:The Search For Spock"" of '84; in this case, it's 'The Search For Spock's Brain.' Here, Kirk and crew are moving along in their starship, minding their own business, when a small ion-propelled ship approaches; a space babe materializes on the bridge of the Enterprise and knocks out everyone with the touch of a button on her spiffy bracelet (and I mean, EVERYone, on the entire ship! - similar to ""By Any Other Name""). When the crew awaken, they find something missing - you guessed it! - Spock's brain! Yes, this is Spock's final episode - just kidding. Here's a minor discrepancy already: the female invader is able to conk out everyone immediately; yet later, on the planet they find her on, she and her cohorts take the trouble to affix funky belts on Kirk and his boys to send painful knockout signals. I won't even elaborate on the slow pace of this episode, with the camera, for example, settling on an immobile Spock standing there, as if something is about to happen, yet nothing does.Someone, meaning the producers, the director and the actors, took a wrong turn or at least a sideways view of this story. As an example, when McCoy slowly informs Kirk of Spock's, eh, problem, it was probably meant to be a suspenseful, grim scene. It isn't. 'His brain is gone..!' McCoy says, looking a bit shell-shocked. Kirk mouths the same phrase, also shocked or stunned. You expect Scotty to repeat it yet again, then Nurse Chapel. I think you get the tone of most of the episode - you're chuckling by this point. By the time we get to the underground civilization on that planet, things have escalated to a laugh-riot, with 'Morgs' and 'Eymorgs' and 'you are not Morg' ringing in our ears as Kirk tries to make sense of a wacko culture divided between female rulers and male brutes. Spock's body is turned into a walking puppet, guided by McCoy's gizmo like a toy robot. Kirk's key meeting with the ruling females, all of whom speak like spoiled teenagers, becomes an exercise in ultimate Trek cheese; Kirk even gets on his knees to grovel at one point, before the female ruler sends him spasming into painful oblivion. It's rather ghastly yet you can't turn away, spellbound in disbelief by the hysterics on screen. All the concepts are sabotaged by the execution, even the climactic brain re-attachment surgery, which begins fine; McCoy gets his brain boosted and proceeds with new skills. Then he starts to forget and Spock talks him through the rest, the audience understanding full well that neither has the knowledge of these unknown techniques. Some entertainment value is there, no doubt, but beware; this all could be a... dare I say it - a drain on the brain.",4
4,"""Star Trek: The Original Series"" Spock's Brain (TV Episode 1968)",The audience must have lost its brain to buy into this premise,"The other reviewers are right. This episode ranks up there with the space hippies one as the worst of the whole Star Trek series. Aliens steal Spock's brain and he survives without it! Riiight. Not only does he survive, Mccoy can control him like a wind-up toy with a little remote control. It gets worse - much worse. The aliens who performed this miraculous non-lethal brain surgery are attractive young females (of course!) that have a three year old's intelligence and can't string together a full sentence. Despite the females' dumbness, they manage to keep Kirk and crew at bay through most of the episode. The scene where McCoy reconnects Spock's brain one step at a time and Spock gains functionality one limb at a time was just painful to watch. The brain does not work that way. And the second the brain surgery is done, Spock gets up and walks around as if he just got a message. I've been through serious surgery. You can't just get up and walk around the second the surgeon says done.",1
5,"""Star Trek: The Original Series"" Spock's Brain (TV Episode 1968)","""Brain, brain, brain! What is brain?!""","There are some redeeming features to this *ahem* ""legendary"" episode of Trekdom. In spite of the poor script the new creative team tried to spruce up the cinematic and thematic flavor of a series that was on the wane.Notably shots that the devout viewer never saw in the first two seasons are introduced. Note the shot from behind the captain's chair looking forward to the main viewer as Kirk and crew try to track Spock's gray matter. In addition we're given a dash of routine starship operations that we were denied in previous episodes; notably looking at a solar system and narrowing down the possible worlds of where to search.It's a unique, and in this way almost ""refreshing"" (I use that word guardedly) approach to Star Trek. The creative forces were trying to salvage what they could due to budget cuts. Even the story is tweaked and finagled to try to gear up for a lack of funds. Note the cavemen and their appearance in the episode, and their relation to the surface on the world.The episode itself deals with a sexual riff between men and women from a society that tried to protect its most valuable asset; women and children from a disaster, thereby creating a divided social norm where the natives are delegated to their pre-societal norms. Their only salvation is a neural library that can temporary deposit valuable knowledge.To cap off the sexual theme women are given pain delivering devices that keep the captive men enslaved to their whims. We're witnessing the primal states of the sexes, and a bare bones association of their relations to one another on a world that's all but forgotten the trappings of what once was.The story tries to bridge and reconstruct the gap between men and women on this world, but fails miserably, even though it does wrap up the basic story by restoring Star Fleet's most valuable first officer. The implication at the end is that the world is restored to normalcy, but nonesuch is really apparent.Yes, it's a travesty of science fiction television, but it's got some very minor redeeming traits that should raise an eyebrow or two for the astute viewer. On the other hand, in spite of this, it is pretty hokey. Certainly not one of the more sterling installments of Kirk-n-Spock Trek, but interesting on an academic level.Take it for what it's worth.",
6,"""Star Trek: The Original Series"" Spock's Brain (TV Episode 1968)","""He was worse than dead""!","While watching I was reminded of the 1962 flick ""The Brain That Wouldn't Die"" with a no name cast and a female character who's head was dismembered in a freak auto accident. The head was kept alive by the woman's doctor boyfriend with the idea that he would find a suitably sexy replacement body. Nominally a horror film, this picture wound up being inadvertently comic in it's absurdity, with it's protagonist tagged with the nickname Jan in the Pan by it's cult followers.Now as long as Spock was going to be commandeered for his scientific super brain, why not go whole hog and just decapitate him altogether? Could it possibly have been any worse than what was developed here? I really couldn't believe it when Captain Kirk, faced with the dire consequences of the situation, managed to proclaim to Bones that they had to go ""...in search of his brain, Doctor"".I should have suspected something strange was going to happen as soon as the opening credits rolled and the series changed the color of it's graphics to that clashing blue hue. I kept thinking about that up until about the time alien Kara (Marj Dusay) first appeared in those purple go-go boots. I might be cynical here, but is that what thirtieth century best dressed aliens might be wearing? So let's not kid ourselves and think there might be a rational explanation for this episode. Roddenberry and crew went for the gusto with this one, producing a Frankenstein version of Spock and keeping us on the edge of our seats to figure out how this would all work out. Even there I had to chuckle. Spock's noggin was suitably barred from view for McCoy's operation, and then when it was over, Spock emerged with a full head of hair! This one wins the camp award for the entire series, fully living up to it's tag line of providing pain and delight, all at the same time.",6
7,"""Star Trek: The Original Series"" Spock's Brain (TV Episode 1968)",A sexy alien steals Spock's brain,"As this episode opens the Enterprise encounters a highly advanced spacecraft; as they approach a beautiful woman beams aboard and uses a device wish causes the entire crew to collapse. When they regain consciousness Kirk receives a call from McCoy telling him to go to sickbay; here he finds Spock minus his brain! His Vulcan physiology means his body can last twenty four hours before it dies. The Enterprise follows the alien vessel's ion trail to a star system with three Class-M planets; not appear to support advanced life but some signals from one, a world in an ice age, suggest it is worth investigating. The landing party discover primitive men on the surface who have no idea what women are; the do however talk of 'The Others' who 'bring pain and pleasure'. It turns out these 'Others' are women who live in an underground complex; they don't appear advanced enough to have taken Spock's brain yet it turns out his brain is indeed there; being used as the 'Controller'; regulating the operation of the complex. Kirk demands its return but the women aren't keen to return it. Captured and fitted with 'pain belts' the away team will have to hurry if they are to return Spock's brain to his body!This, the opening episode of the third and final season, is silly but rather fun. The idea that a sexy alien will turn up and steal Spock's brain is hilarious. We are of course used to William Shatner's delightfully hammy performance as Kirk but here he turns it up to eleven. Even DeForest Kelley gets in on the act as McCoy when he uses an alien device to gain the skills required to put Spock's brain back in then loss the knowledge half way through. The idea of a world where the genders live separately is interesting although the way it works here doesn't work too well as each gender doesn't seem to understand the purpose for the other. The way Spock's body is moved by remote control is so corny it is hilarious. Overall this isn't a bad episode but it is far from a classic.",7
8,"""Star Trek: The Original Series"" Spock's Brain (TV Episode 1968)","Great McCoy Moment, Ala' Forbiden Planet Fame","Considered the ""worse"" of Trek TOS fame by many, it's not the best, but FAR from the worse. Keep in mind that what some hate others may really like, so my all time low episodes probably reveal who I am, a man, that hates (well not really ""hate"" but are not my favorites) the seriously touchie feelie episodes that probably appeal to women. Also, I like episodes that have classic scenes between the trio of Kirk, Spock, McCoy with the added Scottie as well (or good nemesis). One thing I try to tell younger viewers (I'm in my 40's and watched Trek in reruns in the 70's and 80's) is that compared to later Trek series, you had to love the way the women were dressed in TOS, at least I do! Thats the 60's man, and even though it was the ""free love"" generation, not many shows had a consistent array of sexy women dressed in some seriously sexy outfits as Trek TOS does! So what have we here and why do I NOT consider it the ""worse"" episode ever made? There's a cool new starship (a somewhat ""rarity in previous seasons, there are a few new ships in season three), the nemesis's here are hot women in sexy outfits (gotta love that with TOS!), and McCoy has a GREAT scene trying to re-implant Spocks brain! That McCoy scene was a copy of the Krell's brain machine in Forbidden Planet, nice tribute (or ripoff), it works nicely. If your into S&M this may have added attraction as the women who live underground do interact with the male topsiders when they are in the mood, with one condition; the males need to wear a pain inducing discipline belt! Gotta love it, and McCoy's great scene. 6 of 10. Its far from MY worse rated episode.",6
9,"""Star Trek: The Original Series"" Spock's Brain (TV Episode 1968)",How could they miss that chance?,"I watched this episode in agony. Other reviews already explained extensively why it's so bad. And when I say bad, I mean worse than usual cheesy bad Star Trek which we all enjoy.As the idiot Eymorg lady was getting life lessons from Kirk on merits of struggling to survive and evolve naturally; Teacher's steroid effect fades from McCoy. He cannot take another shot of lethargy overloading brain boost from the device, and that's OK for the sake of tension. The solution should've been Eymorg leader taking initiative and boosting herself to complete the procedure. That would mean so much: that lazy civilization learning their lesson, showing compassion and selflessness, which would also prevent Kirk's guiding speech hanging in the air.Instead, they just made up another ridiculous aspect of Vulcan ability to semi-connect to their brain and still guide a master surgeon in the right direction. That way this foolish scene also leaves out if the message is understood by the Eymorg, because she missed the perfect chance.As if the episode isn't dead already, the masculine frat buddy bridge crew ridicules Spock's ""fascination"", analysis and resolution of what he had experienced. Oh, man... These guys' mentalities are closer to the surface caveman than to Spock or any other so called advanced civilization.I'd give it a 4, but this final blow explained above barely makes it fit for a 2.",2
