,episode,rev_title,rev_content,rvr_rating
0,"""Star Trek: Voyager"" Unimatrix Zero: Part II (TV Episode 2000)",A good start to the final season,"As season Six came to an end things were not looking good for Janeway, Tuvok and B'Elanna; it looked like their plans to infiltrate the Borg cube had failed and the three of them had been assimilated. We soon learn that this was all part of the plan to give them full access to the cube and that they have been inoculated so they won't become part of the collective for a few hours. As their deadline approaches Tuvok finds himself being drawn into the collective. When the virus is released it has the desired effect; freeing members of Unimatrix Zero from the collective. By the time this has been done however Tuvok has been assimilated and the other two are captured. In an effort to force Janeway to tell her how to cure the virus the Borg Queen shows her just how far she will go to kill off the freed drones leaving Janeway with a dilemma.Season Seven certainly got off to a good start with plenty of action, an interesting moral dilemma for the captain and a surprise or two that I won't spoil here. Guest star Susanna Thompson did a good job as the Borg Queen; managing to appear friendly and threatening at the same time.",9
1,"""Star Trek: Voyager"" Unimatrix Zero: Part II (TV Episode 2000)",How'd That All Happen?,"The Borg queen is bent on keeping things her way. It's interesting. She is really an individual, thinking pretty much for herself. When she is in combat with Janeway, it appears that her reasons are personal. She is at the center in decision making, hence, individual. This is a good episode with a lot of close calls. One advantage is that the Borg have enemies throughout the galaxy, and so finding comrades is not so hard. One problem with this series is the Doctor's ability to seemingly come up with devices and substances to counter almost anything.",9
2,"""Star Trek: Voyager"" Unimatrix Zero: Part II (TV Episode 2000)",An excellent finale.,"This is the second of a two-part episode involving the Borg. In episode one, Voyager learns that there is a virtual world called Unimatrix One where a small number of Borg drones can somehow live during their time recharging in the alcove. In other words, during these sleeping hours, they live as non-drones in a happy world. Because they have individuality during this time, the Borg queen ain't happy and is determined to find this place and wipe everyone out.By this episode, Voyager is not only encouraging the drones in Unimatrix One but is trying to find a way to get the drones to become individuals during waking hours as well. That way the hive can be destabliized. However, Janeway isn't content with JUST destabilization--she's hoping that they can destroy this hive. To do so, she and some other crew members allow themselves to join the Collective! How can they do this and maintain their individuality? See the show...and the thrilling finale.Excellent. Violent, creative and deliciously evil--this one is a show to see!",10
3,"""Star Trek: Voyager"" Unimatrix Zero: Part II (TV Episode 2000)",A Borg Civil War,"Beta Borg Queen Suzanna was the happiest Borg Queen of them all, she has successfully assimilated not only Kathryn Janeway but B'Elanna Torres and Tuvok to boot.So why can't she hear these valuable new acquisitions? She had monologued in the Cliffhanger of the last episode that she expected something ""More Cunning"" from Janeway.Well, if she knew what Janeway was really up to, she would have been satisfied. Janeway had found a way to be assimilated but keep her Hooman Identity intact and avoid being sucked into the Collective.Because Janeway, Tuvok and B'Elanna had been ""Assimilated for Bear"", each of them containing NanoViruses that will hide all of the Borg with the Mutation that allows them to get into Unimatrix Zero. Their Goal? Just walk right into the Central Plexus and use The Borg's own Assimilation Tubules to inject the NanoVirus into the Plexus.And it works great, except for this one flaw: They did not give Tuvok enough of the Dope that is preventing the three of them from being completely assimilated.Big Problem, Suzie-Queen can now hear Tuvok, and has his Tactical Access Codes to Voyager.Meanwhile Seven of Inverted-Nine-and-Nine goes back to Unimatrix Zero to monitor when the NanoVirus is dispersed. She had found out that she had been part of Unimatrix Zero for 19 years, six of them in an Intimate Relationship with Axum. This makes her uncomfortable and difficult to do her Job, Chakotay has to order her to go in there and set that difficulty aside.Starfleet has No Tolerance for interpersonal Problems- This is not the first time a Crew Person has been Ordered to do their Job despite not liking it. If The Senate in 2013 had been Starfleet Officers, they never would have tried to shut down the Government, holding the entire government Hostage. Can you imagine if the Maquis Members of Voyager's Crew had decided to perform a ""Voyager Shut-Down?"" - Janeway would have hung each of them from the Highest Yardarm (Or Starboard Engine Nacelle).So Seven sets her discomfort aside and gets involved with the people in Unimatrix Zero, helping them set Traps for Unwelcome Drones, and even falls into one of Axum's Traps. This was the perfect thing to happen, it forced Annika Hansen aka Seven to face the subject of her discomfort: Axum (Mark Deakins who does a lot of memorable work for LDS).She even gets Korok interacting and cooperating with the rest of the members of Unimatrix, and Korok gives Bat'Tehl's to whoever wants to try using them. Axum was given a nice, spiky club that would also do the trick.Janeway is successful in planting the NanoVirus, but not before Tuvok is assimilated, and gives Beta Queen their access codes, Voyager has to Haul Arse out of there in short order.And the Queen now sees the Virus and Mutates it to backfire, intending to plant it right into Unimatrix Zero, killing all of the Matrix Drones.So Janeway is forced to ""Compromise"" to Suzanna Queen, and tells Chakotay that ""Unimatrix Zero must not exist""- This secret Message goes over Suzanna's Head.And Voyager has some unlikely Help: It appears that Korok's Sphere is near Voyager, between his Sphere and Voyager, they destroy Unimatrix Zero and The Queen's opportunity to kill them all.But now, the Drones can remember who they were in Unimatrix Zero, and The only way for The Queen to eradicate these drones is to destroy the entire collective.Annika/Seven and Axum have a parting Scene, she will never meet him because he in in a Ship orbiting Fluidic Space in the Beta Quadrant. But Janeway's s parting words to B-Queen are ""I Don't compromise with Borg"".Mark Deakins is also in ""Star Trek: Insurrection"" - He is on a Roof yelling out some instructions while Picard evacuates a Baku Village.",10
0,"""Star Trek: Voyager"" Imperfection (TV Episode 2000)",Seven Of Nine faces death.,"Voyager. Season 7, Episode 2. ""Imperfection"" Seven Of Nine faces death.Absolutely superb.There are many, many things to love here.1. Most of the screen time is devoted to the show's three best characters: Seven, Janeway and The Doctor. But it's not just that they get lots of screen time, it's that they get lots of good screen time. For instance, there's a wonderful, emotional moment between Janeway and Seven that is a huge step forward in their relationship/friendship (and it's perfectly played by Jeri Ryan and the amazing Kate Mulgrew). Impossible to watch this exchange and not feel tears forming. And it's a scene that is typical of many in the story.2. It's an emotional episode, all round. Seven's scene with Janeway is probably the best, but the final scene with Icheb is also a killer and the scene with B'Elanna is another one likely to generate a tear or two. And there's more. It's a very powerful episode, very sad and affecting. Uplifting and wonderful in the way that this show frequently is. Voyager's skill, indeed the gift that the Star Trek legacy gives it, is the ability to write on-the-nose about big topics and make it palatable. Seven might die. And it gives her pause to think and, eventually, talk about it. And it's epic stuff.3. There's some cool Janeway action. The episode (wisely) takes a break from all the stuff likely to make you cry and drops Janeway, Tuvok and Paris into the middle of a battle where Janeway jumps an imposing alien and holds him at gunpoint (sorta). It's fun stuff. Typical of Janeway when she chooses to wear her bad ass hat.4. It's funny. After seven seasons is there any need to say it? But, anyway... Robert Picardo is worth his weight in gold. Many of The Doctor's utterance's are hilarious. Usually, in scenes with Seven e.g. Seven's joke about her 'last meal'.5. The core values of Star Trek are in display in spades, here. Janeway's attempt to head off on a dangerous mission alone is scuppered by Tuvok and Paris in fine style, and once again we see that these people are a team through and through.6. Manu Intiraymi is a curious performer. Sometimes I find his delivery stilted and over-earnest. Yet, in all the scenes where it really mattered he totally nailed it. Totally. All his scenes from the last third of the episode are A+ material. It's taken 5 episodes, but I really like the guy now.ABriefingWithMichael.blogspot.com",10
1,"""Star Trek: Voyager"" Imperfection (TV Episode 2000)",Excellent Acting/Touching Episode,"This is a really touching episode. The unflappable Seven is suddenly made aware of her mortality. She begins to have fears of leaving the earth unloved and worthless. Ichab is her salvation, but unfortunately she has quite the ego and falls into depression. For all practical purposes, she gives up. She can't ask for help because her Borg heritage is still holding on to her. The final scenes are very dramatic and uplifting.",9
2,"""Star Trek: Voyager"" Imperfection (TV Episode 2000)",Awfully good.,"This episode makes very good use of the Borg kids--specifically Icheb. When the show begins, one more of the Borg kiddies is reunited with their parents and Seven is seen crying. Unfortunately it's NOT because of a sudden appearance of emotion but because an important part of Seven's Borg implants is malfunctioning. It's a problem because without it, she will die. An attempt to replace it with a Borg node doesn't work so there is only one possible option--but the Doctor and Seven are loathe to try it. Icheb offers to give her his node. This probably won't kill him, as apparently he wasn't fully assimilated since he's a kid and his body SHOULD be able to survive without it. This is a very emotional and enjoyable show. I liked the moral quandary in this one and the show is quite memorable.",9
3,"""Star Trek: Voyager"" Imperfection (TV Episode 2000)",Seven malfunctions,"After three of the four Borg children leave Voyager Icheb notices that Seven of Nine is crying, she claims that it is due to her ocular implant malfunctioning and initially the Doctor believes she is just trying to cover the fact that she showed emotion at saying good bye to the children but a check up reveals that there was indeed a malfunction. Initially Seven wants the Doctor to keep her problem secret but when she collapses it becomes apparent that her cortical node is failing and that if it isn't replaced she will die. Not being able to replicate the part Janeway leads an away mission in the recently repaired Delta Flyer to a destroyed Borg cube to retrieve the part from a dead drone. Unfortunately simulations show that the part is of no use and they need the part from a live Borg. When a possible solution is suggested neither Seven nor the Doctor are initially enthusiastic.While not as exciting as the season opener this episode had a good action scene where the captain retrieves the part of the dead drone and some nice moral ambiguity when Janeway suggests finding a live drone and taking its node.",7
0,"""Star Trek: Voyager"" Drive (TV Episode 2000)",A good idea that suffers from choppy presentation...,"(SPOILERS) The idea of a ""race in space"" has never been introduced in the Star Trek Universe before, and so there was great opportunity in ""Drive"" for a truly exciting and unique Trek adventure. Unfortunately, the end result, while not terrible, falls far short of its potential.The main fault seems to be too many subplots (the race, warring factions & sabotage, AND Tom & B'Elanna's relationship problems), which require the viewer to constantly jump from one to another to the extent that one feels almost as if one is watching three different episodes at the same time instead of just one. In trying to be many things, ""Drive"" fails to by any ONE thing, and so the show ends up with a ""choppy"" and jumbled feel to it.I, for one, would have loved to have seen more emphasis on the race itself- the individual racers, the bizarre vehicles they were piloting, the potential unknown hazards along the race course, etc. (The pod race in ""Star Wars: The Phantom Menace"" (1999) is a great example of how visually interesting- not to mention fun & exciting- a multiple species space race can be).Finally, I was rather disappointed that a major Star Trek Voyager event- the marriage of Tom Paris & B'Elanna Torres- happened off screen and was somewhat haphazardly tacked on at the very end! What's up with that? One would think that the marriage of these two major characters would deserve at least a token amount of screen time.Perhaps ""Drive"" would have worked better with a little more ""breathing space""- as a two part story arc, there would have been more time to explore & develop all the subplots. As it stands, it seems a little rushed & out of focus.",5
1,"""Star Trek: Voyager"" Drive (TV Episode 2000)","Tom, the man-child, enters a race.","This episode is very reminiscent of the Star Wars movie where young Aniken Skywalker is in some sort of hovercraft race. Here, it's much the same sort of thing but the race is in space. However, Tom Paris is flying this craft--so the pilot is clearly someone LESS mature than Aniken!When the show begins, Tom meets a kindred spirit who loves to speed about in a shuttle. She informs him that her race and three others are having a big race to celebrate peace--and Paris is welcome to join in if he'd like. However, selfish Tom totally forgets that he's been promising B'Elanna for ages that he'd take her to the holodeck for a little vacation! Oops. This sort of thoughtlessness gets B'Elanna wondering if she really should remain with the man- child, Tom.Talk about light-weight plots! A race?! Still, it plays reasonably well but ends on a very unhappy ending--B'Elanna agrees to actually marry that schmuck! But I DID like the final scene of them in the shuttle--it's kind of cute.",6
